"COD recode (24 causes)"	"Sex (no total)"	"Race recode (White, Black)"	"Age recode with <1 year olds (5cat)"	"Year of death (no total)"	"Age-Adjusted Rate"	"Count"	"Population"
0	0	0	0	0	9.6	145	1514641
0	0	0	0	1	11.8	180	1520117
0	0	0	0	2	12.0	187	1553592
0	0	0	0	3	12.1	171	1413121
0	0	0	0	4	18.3	243	1330370
0	0	0	0	5	18.7	245	1307809
0	0	0	0	6	18.8	253	1346332
0	0	0	0	7	21.8	289	1325561
0	0	0	0	8	23.2	323	1394848
0	0	0	0	9	23.9	338	1412505
0	0	0	0	10	19.2	278	1448419
0	0	0	0	11	22.4	335	1493786
0	0	0	0	12	19.4	294	1516142
0	0	0	0	13	21.8	333	1525865
0	0	0	0	14	24.2	369	1526163
0	0	0	0	15	25.1	375	1491206
0	0	0	0	16	24.2	371	1534172
0	0	0	0	17	26.5	407	1536973
0	0	0	0	18	25.4	388	1529082
0	0	0	0	19	22.0	339	1541190
0	0	0	0	20	19.0	298	1567669
0	0	0	0	21	17.2	280	1624007
0	0	0	0	22	16.3	265	1625478
0	0	0	0	23	16.4	263	1606157
0	0	0	0	24	15.9	251	1574670
0	0	0	0	25	15.6	242	1551711
0	0	0	0	26	15.3	236	1539528
0	0	0	0	27	14.6	222	1524669
0	0	0	0	28	16.9	257	1519823
0	0	0	0	29	14.1	215	1521486
0	0	0	0	30	12.0	183	1527801
0	0	0	0	31	11.8	182	1541238
0	0	0	0	32	10.7	170	1594490
0	0	0	0	33	11.5	181	1572249
0	0	0	0	34	9.5	150	1582125
0	0	0	0	35	9.8	156	1591206
0	0	0	0	36	7.9	125	1574764
0	0	0	0	37	7.2	114	1582557
0	0	0	0	38	8.9	143	1612525
0	0	0	0	39	8.5	135	1595501
0	0	0	0	40	8.4	130	1540088
0	0	0	0	41	8.3	126	1522490
0	0	0	0	42	6.6	101	1534654
0	0	0	0	43	8.3	125	1510617
0	0	0	0	44	7.9	119	1505703
0	0	0	0	45	6.7	101	1516827
0	0	0	0	46	6.4	98	1522072
0	0	0	0	47	6.2	94	1512444
0	0	0	0	48	5.9	88	1489721
0	0	0	1	0	1.0	224	23728170
0	0	0	1	1	1.0	225	23574128
0	0	0	1	2	1.0	223	23392871
0	0	0	1	3	1.0	239	23167157
0	0	0	1	4	1.2	261	22799887
0	0	0	1	5	1.0	226	22361343
0	0	0	1	6	1.1	232	21913505
0	0	0	1	7	1.1	222	21458208
0	0	0	1	8	1.0	211	21009347
0	0	0	1	9	1.1	228	20665104
0	0	0	1	10	1.1	215	20350287
0	0	0	1	11	1.2	249	20121485
0	0	0	1	12	1.3	258	20028472
0	0	0	1	13	1.3	256	19989691
0	0	0	1	14	1.3	255	19994853
0	0	0	1	15	1.3	264	19980565
0	0	0	1	16	1.0	210	19895646
0	0	0	1	17	1.2	250	19838957
0	0	0	1	18	1.2	239	19934523
0	0	0	1	19	1.3	259	20120944
0	0	0	1	20	1.0	210	20349453
0	0	0	1	21	1.1	221	20612902
0	0	0	1	22	1.0	207	20986491
0	0	0	1	23	0.9	196	21317771
0	0	0	1	24	1.0	216	21633347
0	0	0	1	25	1.0	213	21874749
0	0	0	1	26	0.8	188	22017868
0	0	0	1	27	0.9	196	22150364
0	0	0	1	28	0.9	206	22253331
0	0	0	1	29	0.9	206	22355932
0	0	0	1	30	0.8	182	22486645
0	0	0	1	31	0.8	191	22535184
0	0	0	1	32	0.8	172	22485328
0	0	0	1	33	0.7	164	22495077
0	0	0	1	34	0.7	157	22461424
0	0	0	1	35	0.6	143	22415201
0	0	0	1	36	0.6	145	22321770
0	0	0	1	37	0.7	159	22253511
0	0	0	1	38	0.6	137	22221328
0	0	0	1	39	0.6	141	22251257
0	0	0	1	40	0.5	118	22296668
0	0	0	1	41	0.5	107	22283642
0	0	0	1	42	0.5	120	22207104
0	0	0	1	43	0.5	108	22155927
0	0	0	1	44	0.5	108	22084717
0	0	0	1	45	0.5	101	22012952
0	0	0	1	46	0.5	110	21933659
0	0	0	1	47	0.5	101	21886847
0	0	0	1	48	0.5	108	21860045
0	0	0	2	0	8.0	1737	25291136
0	0	0	2	1	7.9	1789	26326736
0	0	0	2	2	7.9	1856	27361341
0	0	0	2	3	7.1	1717	28433226
0	0	0	2	4	7.2	1861	29360222
0	0	0	2	5	7.0	1856	30248159
0	0	0	2	6	6.4	1767	31101972
0	0	0	2	7	6.6	1874	31946673
0	0	0	2	8	6.4	1905	32657834
0	0	0	2	9	6.2	1884	33159764
0	0	0	2	10	6.4	2027	33731518
0	0	0	2	11	6.1	1981	34164079
0	0	0	2	12	6.1	2025	34578968
0	0	0	2	13	6.3	2099	34437172
0	0	0	2	14	6.2	2098	34436271
0	0	0	2	15	6.1	2080	34453909
0	0	0	2	16	6.2	2139	34506384
0	0	0	2	17	6.4	2216	34544066
0	0	0	2	18	6.2	2184	34363469
0	0	0	2	19	6.2	2177	34073536
0	0	0	2	20	5.9	2065	33703966
0	0	0	2	21	5.5	1924	33421011
0	0	0	2	22	5.8	2013	33158851
0	0	0	2	23	5.6	1959	32955984
0	0	0	2	24	5.8	2022	32726539
0	0	0	2	25	5.7	1971	32534235
0	0	0	2	26	5.9	2008	32396208
0	0	0	2	27	5.8	1949	32254941
0	0	0	2	28	5.9	1946	32186601
0	0	0	2	29	5.6	1852	32163671
0	0	0	2	30	5.6	1805	32134229
0	0	0	2	31	5.3	1729	32204972
0	0	0	2	32	5.6	1822	32288497
0	0	0	2	33	5.8	1877	32370952
0	0	0	2	34	5.9	1913	32391965
0	0	0	2	35	5.9	1890	32508241
0	0	0	2	36	6.2	1978	32566411
0	0	0	2	37	6.5	2042	32656817
0	0	0	2	38	5.9	1878	32779366
0	0	0	2	39	5.9	1884	32965297
0	0	0	2	40	5.9	1895	33126950
0	0	0	2	41	6.2	2011	33257744
0	0	0	2	42	6.0	1969	33446766
0	0	0	2	43	5.8	1935	33615418
0	0	0	2	44	5.6	1879	33748998
0	0	0	2	45	5.7	1926	33872312
0	0	0	2	46	5.9	1995	33936061
0	0	0	2	47	5.7	1928	34000041
0	0	0	2	48	5.9	2023	33984692
0	0	0	3	0	396.0	126198	28027361
0	0	0	3	1	385.4	124286	28124642
0	0	0	3	2	379.3	123713	28221459
0	0	0	3	3	370.2	122094	28323666
0	0	0	3	4	366.5	121982	28418381
0	0	0	3	5	348.1	116547	28486408
0	0	0	3	6	333.2	112363	28557458
0	0	0	3	7	323.4	110043	28729712
0	0	0	3	8	310.0	106272	28944324
0	0	0	3	9	301.5	104452	29373347
0	0	0	3	10	291.7	101997	29718173
0	0	0	3	11	283.4	100034	29983012
0	0	0	3	12	276.2	97885	30191996
0	0	0	3	13	266.6	95232	30865437
0	0	0	3	14	259.3	93059	31362331
0	0	0	3	15	250.9	90523	31875419
0	0	0	3	16	243.9	88114	32352403
0	0	0	3	17	233.0	84200	32885813
0	0	0	3	18	223.0	80502	33446770
0	0	0	3	19	212.8	77398	34073789
0	0	0	3	20	200.1	72872	34731073
0	0	0	3	21	192.4	70412	35451310
0	0	0	3	22	186.7	68878	36291875
0	0	0	3	23	182.2	68075	37216167
0	0	0	3	24	179.6	68023	38103478
0	0	0	3	25	175.0	67245	39003054
0	0	0	3	26	171.2	66837	39921038
0	0	0	3	27	166.0	65971	40859406
0	0	0	3	28	158.8	64996	41850330
0	0	0	3	29	151.7	64107	42796685
0	0	0	3	30	144.7	63024	43712855
0	0	0	3	31	140.8	62922	44478901
0	0	0	3	32	135.8	62325	45168468
0	0	0	3	33	135.7	64360	45783871
0	0	0	3	34	131.7	64449	46321531
0	0	0	3	35	125.6	63219	46917401
0	0	0	3	36	123.8	64052	47566183
0	0	0	3	37	120.7	64002	48157096
0	0	0	3	38	116.6	63580	48557957
0	0	0	3	39	115.4	64135	48745516
0	0	0	3	40	111.7	63378	48946733
0	0	0	3	41	109.8	63645	49175113
0	0	0	3	42	108.7	64039	49295232
0	0	0	3	43	107.5	63637	49080757
0	0	0	3	44	108.1	64285	48981311
0	0	0	3	45	107.7	64589	48931554
0	0	0	3	46	107.5	64989	48991717
0	0	0	3	47	107.8	65555	48994751
0	0	0	3	48	106.8	65255	48968062
0	0	0	4	0	4100.4	255632	7511561
0	0	0	4	1	3993.4	253543	7646350
0	0	0	4	2	3987.6	256167	7780919
0	0	0	4	3	3899.6	255829	7914369
0	0	0	4	4	3925.6	260904	8051446
0	0	0	4	5	3753.8	254676	8208800
0	0	0	4	6	3573.2	247957	8365755
0	0	0	4	7	3552.0	250624	8542272
0	0	0	4	8	3457.9	249968	8746247
0	0	0	4	9	3426.3	252698	8941410
0	0	0	4	10	3350.0	252799	9155543
0	0	0	4	11	3404.2	262029	9366962
0	0	0	4	12	3315.7	259877	9533505
0	0	0	4	13	3251.7	260326	9722669
0	0	0	4	14	3253.1	265123	9923904
0	0	0	4	15	3162.2	262168	10101619
0	0	0	4	16	3131.9	264456	10296803
0	0	0	4	17	3019.3	260800	10518414
0	0	0	4	18	2934.4	258708	10750480
0	0	0	4	19	2918.5	261302	10928399
0	0	0	4	20	2731.6	249917	11137779
0	0	0	4	21	2638.5	246493	11350917
0	0	0	4	22	2572.5	246227	11566544
0	0	0	4	23	2499.7	244958	11777005
0	0	0	4	24	2527.5	253266	11997536
0	0	0	4	25	2430.9	248842	12173070
0	0	0	4	26	2382.3	249444	12362101
0	0	0	4	27	2324.6	248511	12517027
0	0	0	4	28	2254.6	245877	12624403
0	0	0	4	29	2189.7	243553	12717923
0	0	0	4	30	2144.3	242366	12797066
0	0	0	4	31	2059.6	236494	12903454
0	0	0	4	32	1983.0	231036	13010642
0	0	0	4	33	1949.1	230298	13123017
0	0	0	4	34	1868.1	224871	13282081
0	0	0	4	35	1743.7	213485	13443735
0	0	0	4	36	1704.8	213005	13639547
0	0	0	4	37	1605.5	205776	13864652
0	0	0	4	38	1531.3	201155	14154596
0	0	0	4	39	1498.2	202008	14572265
0	0	0	4	40	1435.4	198438	14934885
0	0	0	4	41	1399.9	198524	15293170
0	0	0	4	42	1370.1	199351	15651711
0	0	0	4	43	1341.7	202145	16404082
0	0	0	4	44	1345.1	208697	17013332
0	0	0	4	45	1323.0	211187	17610475
0	0	0	4	46	1334.4	218678	18179393
0	0	0	4	47	1309.5	220809	18766873
0	0	0	4	48	1311.8	227528	19362094
0	0	1	0	0	18.4	44	239711
0	0	1	0	1	34.1	82	240793
0	0	1	0	2	36.9	94	254565
0	0	1	0	3	59.6	143	239800
0	0	1	0	4	67.4	156	231559
0	0	1	0	5	46.6	105	225355
0	0	1	0	6	36.5	84	230396
0	0	1	0	7	44.9	103	229574
0	0	1	0	8	42.1	103	244916
0	0	1	0	9	47.1	116	246239
0	0	1	0	10	43.2	111	256841
0	0	1	0	11	42.4	115	271215
0	0	1	0	12	39.3	106	269763
0	0	1	0	13	37.7	103	273227
0	0	1	0	14	55.8	152	272576
0	0	1	0	15	50.5	135	267174
