2013 Urbanization,2013 Urbanization Code,Year,Year Code,Deaths,Population,Crude Rate,Age Adjusted Rate
Large Central Metro,1,1999,1999,5245,85881105,6.1,6.1
Large Central Metro,1,2000,2000,4962,86605562,5.7,5.7
Large Central Metro,1,2001,2001,5067,87669541,5.8,5.7
Large Central Metro,1,2002,2002,6210,88263944,7,7
Large Central Metro,1,2003,2003,6417,88760451,7.2,7.2
Large Central Metro,1,2004,2004,6796,89243514,7.6,7.6
Large Central Metro,1,2005,2005,7543,89762433,8.4,8.3
Large Central Metro,1,2006,2006,8763,90218772,9.7,9.6
Large Central Metro,1,2007,2007,8936,90936161,9.8,9.6
Large Central Metro,1,2008,2008,8521,91828270,9.3,9.1
Large Central Metro,1,2009,2009,8740,92817989,9.4,9.2
Large Central Metro,1,2010,2010,8798,93505527,9.4,9.1
Large Central Metro,1,2011,2011,9719,94698280,10.3,9.9
Large Central Metro,1,2012,2012,9932,95794160,10.4,10
Large Central Metro,1,2013,2013,10812,96739043,11.2,10.8
Large Central Metro,1,2014,2014,11543,97933810,11.8,11.3
Large Central Metro,1,2015,2015,13238,98997449,13.4,12.8
Large Central Metro,1,2016,2016,16899,99544525,17,16.3
Large Central Metro,1,2017,2017,19093,100601976,19,18.3
Large Fringe Metro,2,1999,1999,1925,65751853,2.9,2.9
Large Fringe Metro,2,2000,2000,2265,66611614,3.4,3.3
Large Fringe Metro,2,2001,2001,2566,68009510,3.8,3.7
Large Fringe Metro,2,2002,2002,3227,69050312,4.7,4.6
Large Fringe Metro,2,2003,2003,3528,70032084,5,5
Large Fringe Metro,2,2004,2004,3722,71022980,5.2,5.2
Large Fringe Metro,2,2005,2005,4652,71989227,6.5,6.4
Large Fringe Metro,2,2006,2006,5763,72929376,7.9,7.8
Large Fringe Metro,2,2007,2007,5995,73833666,8.1,8.1
Large Fringe Metro,2,2008,2008,6308,74696904,8.4,8.4
Large Fringe Metro,2,2009,2009,6305,75443249,8.4,8.3
Large Fringe Metro,2,2010,2010,6769,76007372,8.9,8.8
Large Fringe Metro,2,2011,2011,7674,76806991,10,10
Large Fringe Metro,2,2012,2012,7902,77488865,10.2,10.2
Large Fringe Metro,2,2013,2013,8610,78203382,11,11.1
Large Fringe Metro,2,2014,2014,9348,79063551,11.8,11.9
Large Fringe Metro,2,2015,2015,10775,79867097,13.5,13.8
Large Fringe Metro,2,2016,2016,14383,80496977,17.9,18.4
Large Fringe Metro,2,2017,2017,16113,81361310,19.8,20.3
Medium Metro,3,1999,1999,2225,56973246,3.9,3.9
Medium Metro,3,2000,2000,2447,57448175,4.3,4.3
Medium Metro,3,2001,2001,2747,58236589,4.7,4.8
Medium Metro,3,2002,2002,3661,58899471,6.2,6.3
Medium Metro,3,2003,2003,4234,59518143,7.1,7.2
Medium Metro,3,2004,2004,4686,60262728,7.8,7.9
Medium Metro,3,2005,2005,5182,61023918,8.5,8.6
Medium Metro,3,2006,2006,5867,61872916,9.5,9.6
Medium Metro,3,2007,2007,6190,62622069,9.9,10
Medium Metro,3,2008,2008,6578,63295790,10.4,10.5
Medium Metro,3,2009,2009,6613,63900907,10.3,10.5
Medium Metro,3,2010,2010,7074,64369293,11,11.2
Medium Metro,3,2011,2011,7491,64998427,11.5,11.7
Medium Metro,3,2012,2012,7343,65473964,11.2,11.4
Medium Metro,3,2013,2013,7935,65931102,12,12.3
Medium Metro,3,2014,2014,8767,66466520,13.2,13.5
Medium Metro,3,2015,2015,10229,67041154,15.3,15.7
Medium Metro,3,2016,2016,12334,67510722,18.3,19
