"COD recode (24 causes)"	"Sex (no total)"	"Race-ethnicity"	"Year of death (no total)"	"Age-Adjusted Rate"	"Count"	"Population"
0	0	0	0	395.0	294255	91937680
0	0	0	1	391.3	297384	92609093
0	0	0	2	379.7	294490	93320395
0	0	0	3	384.3	303736	93910277
0	0	0	4	374.0	301085	94428126
0	0	0	5	366.0	300605	94916684
0	0	0	6	356.9	298603	95332312
0	0	0	7	351.1	299677	95740849
0	0	0	8	340.0	296149	96111915
0	0	0	9	331.2	293193	96422970
0	0	0	10	319.3	287190	96617582
0	0	0	11	307.4	280693	96859869
0	0	0	12	303.2	281426	97028016
0	0	0	13	291.8	276231	97128604
0	0	0	14	273.6	263625	97367647
0	0	0	15	267.8	263298	97543299
0	0	0	16	254.6	256441	97755266
0	0	0	17	243.6	251216	97939819
0	0	0	18	239.6	252561	98124198
0	0	0	19	229.8	247477	98261250
0	0	0	20	225.0	247755	98409874
0	0	0	21	221.3	248776	98542038
0	0	0	22	217.0	250105	98718563
0	0	0	23	217.9	256286	98831008
0	0	0	24	215.2	258458	98962590
0	0	0	25	216.5	264775	99063996
0	0	0	26	213.9	266981	99135186
0	0	0	27	214.1	272416	99147018
0	0	1	0	457.8	34033	13891135
0	0	1	1	478.0	36239	14188387
0	0	1	2	466.0	36022	14522060
0	0	1	3	472.9	37351	14826879
0	0	1	4	454.3	36516	15115817
0	0	1	5	456.8	37555	15389051
0	0	1	6	438.4	36591	15653096
0	0	1	7	429.4	36729	15930898
0	0	1	8	425.6	37208	16209253
0	0	1	9	414.8	37066	16485737
0	0	1	10	398.3	36275	16730875
0	0	1	11	394.5	36531	16946270
0	0	1	12	386.5	36590	17147052
0	0	1	13	380.5	36960	17320752
0	0	1	14	359.4	35740	17537341
0	0	1	15	347.5	35870	17745794
0	0	1	16	337.5	35782	17969520
0	0	1	17	321.0	35241	18197963
0	0	1	18	309.8	34962	18427803
0	0	1	19	296.9	34930	18648848
0	0	1	20	285.5	34591	18871648
0	0	1	21	273.0	34471	19088229
0	0	1	22	271.7	35582	19311995
0	0	1	23	270.8	36558	19526154
0	0	1	24	267.7	37260	19745302
0	0	1	25	267.3	38633	19967838
0	0	1	26	267.0	40040	20183932
0	0	1	27	267.1	41409	20381447
0	0	2	0	241.8	888	883040
0	0	2	1	251.2	907	906517
0	0	2	2	259.1	1007	931854
0	0	2	3	258.9	1050	957720
0	0	2	4	253.0	1038	982431
0	0	2	5	236.5	1043	1006926
0	0	2	6	239.4	1042	1034643
0	0	2	7	297.9	1320	1060242
0	0	2	8	279.2	1284	1087979
0	0	2	9	272.7	1267	1117398
0	0	2	10	252.8	1301	1151373
0	0	2	11	248.3	1335	1163016
0	0	2	12	257.0	1381	1173608
0	0	2	13	265.4	1480	1183110
0	0	2	14	244.6	1400	1194873
0	0	2	15	231.6	1416	1206095
0	0	2	16	226.8	1470	1217864
0	0	2	17	219.9	1467	1229652
0	0	2	18	207.1	1464	1241875
0	0	2	19	211.3	1528	1252949
0	0	2	20	202.2	1524	1262235
0	0	2	21	204.1	1613	1273668
0	0	2	22	200.6	1656	1285719
0	0	2	23	202.0	1764	1297504
0	0	2	24	197.5	1813	1308811
0	0	2	25	197.3	1916	1319472
0	0	2	26	199.1	1950	1328903
0	0	2	27	197.6	2033	1337961
0	0	3	0	221.9	3120	3498219
0	0	3	1	228.2	3448	3695807
0	0	3	2	227.3	3703	3905058
0	0	3	3	228.1	3919	4112555
0	0	3	4	220.7	4135	4301864
0	0	3	5	217.2	4268	4498059
0	0	3	6	211.0	4510	4703351
0	0	3	7	204.1	4633	4910217
0	0	3	8	204.2	4886	5110217
0	0	3	9	201.5	5065	5342422
0	0	3	10	184.5	5095	5603358
0	0	3	11	173.9	5083	5839271
0	0	3	12	177.1	5428	6066077
0	0	3	13	165.6	5410	6280233
0	0	3	14	154.4	5295	6494416
0	0	3	15	150.1	5595	6715984
0	0	3	16	145.4	5699	6939938
0	0	3	17	134.9	5607	7155357
0	0	3	18	134.2	5875	7375181
0	0	3	19	130.6	6093	7582384
0	0	3	20	125.8	6119	7788491
0	0	3	21	116.2	6103	8024136
0	0	3	22	116.8	6531	8269649
0	0	3	23	119.9	7164	8523185
