"Notes"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Age Group"	"Age Group Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1968"	"1968"	8579	258270	3321.7
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1969"	"1969"	8360	264186	3164.4
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1970"	"1970"	8176	276702	2954.8
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1971"	"1971"	7596	272898	2783.5
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1972"	"1972"	7028	256575	2739.2
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1973"	"1973"	6368	246775	2580.5
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1974"	"1974"	6012	243435	2469.7
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1975"	"1975"	6056	244882	2473.0
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1976"	"1976"	5887	245968	2393.4
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1977"	"1977"	5722	259836	2202.2
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1978"	"1978"	5648	262807	2149.1
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1968"	"1968"	1418	1042000	136.1
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1969"	"1969"	1328	1008000	131.7
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1970"	"1970"	1256	970376	129.4
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1971"	"1971"	1133	969000	116.9
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1972"	"1972"	1102	985000	111.9
