"Notes"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"1999"	"1999"	163	23878	682.6
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2000"	"2000"	130	26410	492.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2001"	"2001"	162	28400	570.4
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2002"	"2002"	152	28652	530.5
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2003"	"2003"	140	29744	470.7
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2004"	"2004"	152	30480	498.7
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2005"	"2005"	161	32194	500.1
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2006"	"2006"	151	33299	453.5
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2007"	"2007"	191	36155	528.3
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2008"	"2008"	169	38643	437.3
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2009"	"2009"	171	38499	444.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2010"	"2010"	141	38480	366.4
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2011"	"2011"	162	39361	411.6
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2012"	"2012"	162	38034	425.9
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2013"	"2013"	118	38574	305.9
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2014"	"2014"	158	38303	412.5
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2015"	"2015"	167	38745	431.0
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2016"	"2016"	141	38168	369.4
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2017"	"2017"	150	37522	399.8
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2018"	"2018"	136	36615	371.4
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"1999"	"1999"	34	99441	34.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2000"	"2000"	42	105634	39.8
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2001"	"2001"	51	106459	47.9
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2002"	"2002"	41	109688	37.4
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2003"	"2003"	40	113119	35.4
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2004"	"2004"	47	117295	40.1
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2005"	"2005"	38	121519	31.3
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2006"	"2006"	43	126322	34.0
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2007"	"2007"	40	131969	30.3
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2008"	"2008"	50	139570	35.8
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2009"	"2009"	35	149223	23.5
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2010"	"2010"	38	155515	24.4
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2011"	"2011"	39	155219	25.1
