"Notes"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"< 1 year"	"1"	"1999"	"1999"	2001	368982	542.3
	"Female"	"F"	"< 1 year"	"1"	"2000"	"2000"	2084	376442	553.6
	"Female"	"F"	"< 1 year"	"1"	"2001"	"2001"	2079	427349	486.5
	"Female"	"F"	"< 1 year"	"1"	"2002"	"2002"	2197	436905	502.9
	"Female"	"F"	"< 1 year"	"1"	"2003"	"2003"	2341	449882	520.4
	"Female"	"F"	"< 1 year"	"1"	"2004"	"2004"	2373	465015	510.3
	"Female"	"F"	"< 1 year"	"1"	"2005"	"2005"	2532	481091	526.3
	"Female"	"F"	"< 1 year"	"1"	"2006"	"2006"	2556	499184	512.0
	"Female"	"F"	"< 1 year"	"1"	"2007"	"2007"	2725	521281	522.8
	"Female"	"F"	"< 1 year"	"1"	"2008"	"2008"	2611	523032	499.2
	"Female"	"F"	"< 1 year"	"1"	"2009"	"2009"	2435	507194	480.1
	"Female"	"F"	"< 1 year"	"1"	"2010"	"2010"	2300	496916	462.9
	"Female"	"F"	"< 1 year"	"1"	"2011"	"2011"	2205	512571	430.2
	"Female"	"F"	"< 1 year"	"1"	"2012"	"2012"	2151	501527	428.9
	"Female"	"F"	"< 1 year"	"1"	"2013"	"2013"	2153	496475	433.7
	"Female"	"F"	"< 1 year"	"1"	"2014"	"2014"	2145	496410	432.1
	"Female"	"F"	"< 1 year"	"1"	"2015"	"2015"	2186	500697	436.6
	"Female"	"F"	"< 1 year"	"1"	"2016"	"2016"	2139	501749	426.3
	"Female"	"F"	"< 1 year"	"1"	"2017"	"2017"	2173	504187	431.0
	"Female"	"F"	"< 1 year"	"1"	"2018"	"2018"	1985	492900	402.7
	"Female"	"F"	"1-4 years"	"1-4"	"1999"	"1999"	401	1396377	28.7
	"Female"	"F"	"1-4 years"	"1-4"	"2000"	"2000"	397	1441101	27.5
	"Female"	"F"	"1-4 years"	"1-4"	"2001"	"2001"	399	1482940	26.9
	"Female"	"F"	"1-4 years"	"1-4"	"2002"	"2002"	387	1557789	24.8
	"Female"	"F"	"1-4 years"	"1-4"	"2003"	"2003"	424	1632738	26.0
	"Female"	"F"	"1-4 years"	"1-4"	"2004"	"2004"	412	1709018	24.1
	"Female"	"F"	"1-4 years"	"1-4"	"2005"	"2005"	431	1776159	24.3
	"Female"	"F"	"1-4 years"	"1-4"	"2006"	"2006"	438	1823087	24.0
	"Female"	"F"	"1-4 years"	"1-4"	"2007"	"2007"	453	1878238	24.1
	"Female"	"F"	"1-4 years"	"1-4"	"2008"	"2008"	442	1941856	22.8
	"Female"	"F"	"1-4 years"	"1-4"	"2009"	"2009"	465	1991343	23.4
	"Female"	"F"	"1-4 years"	"1-4"	"2010"	"2010"	406	2008225	20.2
	"Female"	"F"	"1-4 years"	"1-4"	"2011"	"2011"	433	2028649	21.3
	"Female"	"F"	"1-4 years"	"1-4"	"2012"	"2012"	405	2025275	20.0
	"Female"	"F"	"1-4 years"	"1-4"	"2013"	"2013"	371	2012827	18.4
	"Female"	"F"	"1-4 years"	"1-4"	"2014"	"2014"	348	2020792	17.2
	"Female"	"F"	"1-4 years"	"1-4"	"2015"	"2015"	354	2020277	17.5
	"Female"	"F"	"1-4 years"	"1-4"	"2016"	"2016"	356	2021272	17.6
	"Female"	"F"	"1-4 years"	"1-4"	"2017"	"2017"	350	2034963	17.2
	"Female"	"F"	"1-4 years"	"1-4"	"2018"	"2018"	339	2040671	16.6
	"Female"	"F"	"5-14 years"	"5-14"	"1999"	"1999"	422	3180450	13.3
	"Female"	"F"	"5-14 years"	"5-14"	"2000"	"2000"	443	3318022	13.4
	"Female"	"F"	"5-14 years"	"5-14"	"2001"	"2001"	438	3467722	12.6
	"Female"	"F"	"5-14 years"	"5-14"	"2002"	"2002"	477	3578260	13.3
	"Female"	"F"	"5-14 years"	"5-14"	"2003"	"2003"	467	3680170	12.7
	"Female"	"F"	"5-14 years"	"5-14"	"2004"	"2004"	449	3780023	11.9
	"Female"	"F"	"5-14 years"	"5-14"	"2005"	"2005"	456	3879883	11.8
	"Female"	"F"	"5-14 years"	"5-14"	"2006"	"2006"	464	4012955	11.6
	"Female"	"F"	"5-14 years"	"5-14"	"2007"	"2007"	494	4143890	11.9
	"Female"	"F"	"5-14 years"	"5-14"	"2008"	"2008"	472	4284685	11.0
	"Female"	"F"	"5-14 years"	"5-14"	"2009"	"2009"	522	4436097	11.8
	"Female"	"F"	"5-14 years"	"5-14"	"2010"	"2010"	408	4561026	8.9
	"Female"	"F"	"5-14 years"	"5-14"	"2011"	"2011"	444	4670342	9.5
	"Female"	"F"	"5-14 years"	"5-14"	"2012"	"2012"	475	4759520	10.0
	"Female"	"F"	"5-14 years"	"5-14"	"2013"	"2013"	482	4844313	9.9
	"Female"	"F"	"5-14 years"	"5-14"	"2014"	"2014"	478	4920407	9.7
	"Female"	"F"	"5-14 years"	"5-14"	"2015"	"2015"	430	4987433	8.6
	"Female"	"F"	"5-14 years"	"5-14"	"2016"	"2016"	523	5054799	10.3
	"Female"	"F"	"5-14 years"	"5-14"	"2017"	"2017"	488	5119423	9.5
	"Female"	"F"	"5-14 years"	"5-14"	"2018"	"2018"	510	5166476	9.9
	"Female"	"F"	"15-24 years"	"15-24"	"1999"	"1999"	958	2909067	32.9
	"Female"	"F"	"15-24 years"	"15-24"	"2000"	"2000"	956	3017378	31.7
	"Female"	"F"	"15-24 years"	"15-24"	"2001"	"2001"	1039	3149694	33.0
	"Female"	"F"	"15-24 years"	"15-24"	"2002"	"2002"	1073	3253690	33.0
