Year	Locationabbr	Locationdesc	Class	Topic	Question	Response	Break_Out	Break_Out_Category	Sample_Size	Data_value	Confidence_limit_Low	Confidence_limit_High	Display_order	Data_value_unit	Data_value_type	Data_Value_Footnote_Symbol	Data_Value_Footnote	DataSource	ClassId	TopicId	LocationID	BreakoutID	BreakOutCategoryID	QuestionID	ResponseID	GeoLocation
2013	MO	Missouri	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	49	13.6	9.0	18.3	29	%	Crude Prevalence			BRFSS	CLASS01	Topic07	29	EDUCA1	CAT5	_RFBING5	RESP046	(38.635790776, -92.566300053)
2011	CO	Colorado	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	454	22.8	20.5	25.2	33	%	Crude Prevalence			BRFSS	CLASS01	Topic07	8	EDUCA3	CAT5	_RFBING5	RESP046	(38.843840757, -106.133610921)
2011	ND	North Dakota	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	259	25.4	22.2	28.5	31	%	Crude Prevalence			BRFSS	CLASS01	Topic07	38	EDUCA2	CAT5	_RFBING5	RESP046	(47.475319779, -100.118421049)
2013	WY	Wyoming	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	208	14.6	12.3	16.8	35	%	Crude Prevalence			BRFSS	CLASS01	Topic07	56	EDUCA4	CAT5	_RFBING5	RESP046	(43.235541343, -108.109830353)
2011	CT	Connecticut	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	203	20.7	17.4	24.0	33	%	Crude Prevalence			BRFSS	CLASS01	Topic07	9	EDUCA3	CAT5	_RFBING5	RESP046	(41.56266102, -72.649840952)
2012	VA	Virginia	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	180	13.9	11.7	16.2	2361	%	Crude Prevalence			BRFSS	CLASS01	Topic07	51	EDUCA2	CAT5	_RFBING5	RESP046	(37.542680674, -78.457890463)
2012	ND	North Dakota	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	272	27.6	24.2	31.0	2334	%	Crude Prevalence			BRFSS	CLASS01	Topic07	38	EDUCA2	CAT5	_RFBING5	RESP046	(47.475319779, -100.118421049)
2012	NV	Nevada	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	60	16.0	11.3	20.8	2360	%	Crude Prevalence			BRFSS	CLASS01	Topic07	32	EDUCA1	CAT5	_RFBING5	RESP046	(39.49324039, -117.071840564)
2011	HI	Hawaii	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	404	18.4	16.1	20.6	35	%	Crude Prevalence			BRFSS	CLASS01	Topic07	15	EDUCA4	CAT5	_RFBING5	RESP046	(21.304850435, -157.857749403)
2011	VT	Vermont	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	186	19.3	16.3	22.3	33	%	Crude Prevalence			BRFSS	CLASS01	Topic07	50	EDUCA3	CAT5	_RFBING5	RESP046	(43.625381239, -72.517640791)
