Year	Locationabbr	Locationdesc	Class	Topic	Question	Response	Break_Out	Break_Out_Category	Sample_Size	Data_value	Confidence_limit_Low	Confidence_limit_High	Display_order	Data_value_unit	Data_value_type	Data_Value_Footnote_Symbol	Data_Value_Footnote	DataSource	ClassId	TopicId	LocationID	BreakoutID	BreakOutCategoryID	QuestionID	ResponseID	GeoLocation
2002	VI	Virgin Islands	Alcohol Consumption	Binge Drinking	Binge drinkers (adults having five or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	59	12.8	9	16.6	919	%	Crude Prevalence			BRFSS	CLASS01	Topic07	78	EDUCA4	CAT5	_RFBING2	RESP046	(18.335765, -64.896335)
2009	GU	Guam	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	52	19.5	13.8	25.1	2031	%	Crude Prevalence			BRFSS	CLASS01	Topic07	66	EDUCA4	CAT5	_RFBING4	RESP046	(13.444304, 144.793731)
2005	PR	Puerto Rico	Alcohol Consumption	Binge Drinking	Binge drinkers (adults having five or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	74	9.5	6.6	12.4	893	%	Crude Prevalence			BRFSS	CLASS01	Topic07	72	EDUCA1	CAT5	_RFBING3	RESP046	(18.220833, -66.590149)
2004	VI	Virgin Islands	Alcohol Consumption	Binge Drinking	Binge drinkers (adults having five or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	59	14.4	10.3	18.5	600	%	Crude Prevalence			BRFSS	CLASS01	Topic07	78	EDUCA3	CAT5	_RFBING2	RESP046	(18.335765, -64.896335)
2002	VI	Virgin Islands	Alcohol Consumption	Binge Drinking	Binge drinkers (adults having five or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	54	10.5	7.2	13.8	918	%	Crude Prevalence			BRFSS	CLASS01	Topic07	78	EDUCA3	CAT5	_RFBING2	RESP046	(18.335765, -64.896335)
2002	GU	Guam	Alcohol Consumption	Binge Drinking	Binge drinkers (adults having five or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	28	13.4	8.3	18.5	898	%	Crude Prevalence			BRFSS	CLASS01	Topic07	66	EDUCA4	CAT5	_RFBING2	RESP046	(13.444304, 144.793731)
2001	PR	Puerto Rico	Alcohol Consumption	Binge Drinking	Binge drinkers (adults having five or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	110	12	9.1	14.9	928	%	Crude Prevalence			BRFSS	CLASS01	Topic07	72	EDUCA2	CAT5	_RFBINGE	RESP046	(18.220833, -66.590149)
2009	PR	Puerto Rico	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	81	13	9.9	16.1	1907	%	Crude Prevalence			BRFSS	CLASS01	Topic07	72	EDUCA3	CAT5	_RFBING4	RESP046	(18.220833, -66.590149)
2006	PR	Puerto Rico	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	80	7.6	5.7	9.5	1624	%	Crude Prevalence			BRFSS	CLASS01	Topic07	72	EDUCA1	CAT5	_RFBING4	RESP046	(18.220833, -66.590149)
2005	VI	Virgin Islands	Alcohol Consumption	Binge Drinking	Binge drinkers (adults having five or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	46	10.7	7.2	14.2	972	%	Crude Prevalence			BRFSS	CLASS01	Topic07	78	EDUCA3	CAT5	_RFBING3	RESP046	(18.335765, -64.896335)
2009	GU	Guam	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	75	23.3	18	28.7	2029	%	Crude Prevalence			BRFSS	CLASS01	Topic07	66	EDUCA2	CAT5	_RFBING4	RESP046	(13.444304, 144.793731)
2006	VI	Virgin Islands	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	112	12.5	10	15	1768	%	Crude Prevalence			BRFSS	CLASS01	Topic07	78	EDUCA2	CAT5	_RFBING4	RESP046	(18.335765, -64.896335)
2010	GU	Guam	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	42	15.4	10.4	20.3	1927	%	Crude Prevalence			BRFSS	CLASS01	Topic07	66	EDUCA2	CAT5	_RFBING4	RESP046	(13.444304, 144.793731)
2010	GU	Guam	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	22				1926	%	Crude Prevalence	*	Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.	BRFSS	CLASS01	Topic07	66	EDUCA1	CAT5	_RFBING4	RESP046	(13.444304, 144.793731)
2007	PR	Puerto Rico	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	44	5.6	3.8	7.4	1674	%	Crude Prevalence			BRFSS	CLASS01	Topic07	72	EDUCA1	CAT5	_RFBING4	RESP046	(18.220833, -66.590149)
2008	PR	Puerto Rico	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	39	4.1	2.5	5.7	1810	%	Crude Prevalence			BRFSS	CLASS01	Topic07	72	EDUCA1	CAT5	_RFBING4	RESP046	(18.220833, -66.590149)
2005	PR	Puerto Rico	Alcohol Consumption	Binge Drinking	Binge drinkers (adults having five or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	98	15.5	12	19	896	%	Crude Prevalence			BRFSS	CLASS01	Topic07	72	EDUCA4	CAT5	_RFBING3	RESP046	(18.220833, -66.590149)
2006	PR	Puerto Rico	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	144	18.8	15.6	22	1625	%	Crude Prevalence			BRFSS	CLASS01	Topic07	72	EDUCA2	CAT5	_RFBING4	RESP046	(18.220833, -66.590149)
2010	GU	Guam	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	22	18.5	10.5	26.5	1928	%	Crude Prevalence			BRFSS	CLASS01	Topic07	66	EDUCA3	CAT5	_RFBING4	RESP046	(13.444304, 144.793731)
2003	VI	Virgin Islands	Alcohol Consumption	Binge Drinking	Binge drinkers (adults having five or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	38	11.4	7	15.8	997	%	Crude Prevalence			BRFSS	CLASS01	Topic07	78	EDUCA1	CAT5	_RFBING2	RESP046	(18.335765, -64.896335)
2008	VI	Virgin Islands	Alcohol Consumption	Binge Drinking	Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	65	17.5	12.7	22.3	1987	%	Crude Prevalence			BRFSS	CLASS01	Topic07	78	EDUCA3	CAT5	_RFBING4	RESP046	(18.335765, -64.896335)
