"Notes"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"1999"	"1999"	153	17758	861.6
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2000"	"2000"	120	18962	632.8
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2001"	"2001"	140	19904	703.4
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2002"	"2002"	139	19790	702.4
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2003"	"2003"	127	19688	645.1
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2004"	"2004"	133	19995	665.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2005"	"2005"	140	20496	683.1
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2006"	"2006"	129	20583	626.7
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2007"	"2007"	161	21216	758.9
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2008"	"2008"	153	21392	715.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2009"	"2009"	149	20785	716.9
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2010"	"2010"	119	20559	578.8
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2011"	"2011"	136	20621	659.5
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2012"	"2012"	139	20225	687.3
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2013"	"2013"	103	19992	515.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2014"	"2014"	137	20037	683.7
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2015"	"2015"	139	20092	691.8
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2016"	"2016"	129	19671	655.8
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2017"	"2017"	133	19258	690.6
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"2018"	"2018"	114	18773	607.3
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"1999"	"1999"	33	74909	44.1
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2000"	"2000"	39	77612	50.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2001"	"2001"	48	75815	63.3
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2002"	"2002"	37	76313	48.5
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2003"	"2003"	36	76890	46.8
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2004"	"2004"	44	77279	56.9
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2005"	"2005"	33	78125	42.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2006"	"2006"	38	78907	48.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2007"	"2007"	36	79653	45.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2008"	"2008"	39	81264	48.0
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2009"	"2009"	30	82679	36.3
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2010"	"2010"	32	83062	38.5
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2011"	"2011"	38	82276	46.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2012"	"2012"	30	81319	36.9
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2013"	"2013"	33	79922	41.3
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2014"	"2014"	24	79547	30.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2015"	"2015"	37	78654	47.0
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2016"	"2016"	44	78682	55.9
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2017"	"2017"	39	78016	50.0
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"2018"	"2018"	22	76888	28.6
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"5-14 years"	"5-14"	"1999"	"1999"	45	221372	20.3
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"5-14 years"	"5-14"	"2000"	"2000"	49	224024	21.9
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"5-14 years"	"5-14"	"2001"	"2001"	51	220689	23.1
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"5-14 years"	"5-14"	"2002"	"2002"	58	218607	26.5
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"5-14 years"	"5-14"	"2003"	"2003"	47	215771	21.8
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"5-14 years"	"5-14"	"2004"	"2004"	52	212730	24.4
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"5-14 years"	"5-14"	"2005"	"2005"	45	209084	21.5
