"Notes"	"Gender"	"Gender Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"1999"	"1999"	107	298151	35.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2000"	"2000"	96	315482	30.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2001"	"2001"	103	324732	31.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2002"	"2002"	110	335171	32.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2003"	"2003"	134	340937	39.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2004"	"2004"	120	350958	34.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2005"	"2005"	129	376626	34.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2006"	"2006"	133	384542	34.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2007"	"2007"	138	392631	35.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2008"	"2008"	138	395055	34.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2009"	"2009"	147	395469	37.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2010"	"2010"	138	404557	34.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2011"	"2011"	150	405100	37.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2012"	"2012"	145	405565	35.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2013"	"2013"	135	412739	32.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2014"	"2014"	151	425361	35.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2015"	"2015"	158	454134	34.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2016"	"2016"	191	464795	41.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2017"	"2017"	196	477250	41.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"25 years"	"25"	"2018"	"2018"	190	473251	40.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"1999"	"1999"	120	298049	40.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2000"	"2000"	117	305138	38.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2001"	"2001"	122	327827	37.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2002"	"2002"	110	333986	32.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2003"	"2003"	134	343093	39.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2004"	"2004"	128	347876	36.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2005"	"2005"	109	357740	30.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2006"	"2006"	137	383088	35.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2007"	"2007"	141	389799	36.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2008"	"2008"	132	397001	33.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2009"	"2009"	155	398502	38.9
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2010"	"2010"	150	396920	37.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2011"	"2011"	129	409895	31.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2012"	"2012"	147	407686	36.1
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2013"	"2013"	155	408227	38.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2014"	"2014"	191	420021	45.5
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2015"	"2015"	157	429143	36.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2016"	"2016"	186	455835	40.8
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"26 years"	"26"	"2017"	"2017"	179	471226	38.0
