"Notes"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2014"	"2014"	1	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2017"	"2017"	0	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2014"	"2014"	0	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2017"	"2017"	0	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	23	496410	4.6
	"Female"	"F"	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	12	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2014"	"2014"	0	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2017"	"2017"	1	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2014"	"2014"	0	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2017"	"2017"	0	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2014"	"2014"	0	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2017"	"2017"	1	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	"2014"	"2014"	1	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	"2017"	"2017"	0	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	"2014"	"2014"	0	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	"2017"	"2017"	0	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	"2014"	"2014"	1	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	"2017"	"2017"	0	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	16	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	"2017"	"2017"	15	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	"2014"	"2014"	0	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	"2017"	"2017"	1	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	"2014"	"2014"	0	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	"2017"	"2017"	0	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	"2014"	"2014"	0	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	"2017"	"2017"	0	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Measles (B05)"	"GR113-014"	"2014"	"2014"	0	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Measles (B05)"	"GR113-014"	"2017"	"2017"	0	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2014"	"2014"	1	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2017"	"2017"	0	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2014"	"2014"	0	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2017"	"2017"	0	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Malaria (B50-B54)"	"GR113-017"	"2014"	"2014"	0	496410	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Malaria (B50-B54)"	"GR113-017"	"2017"	"2017"	0	504187	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	"2014"	"2014"	11	496410	Unreliable
