"Notes"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"1999"	"1999"	"15-24 years"	"15-24"	2	18860184	Unreliable
	"Female"	"F"	"1999"	"1999"	"25-34 years"	"25-34"	94	19945090	0.5
	"Female"	"F"	"1999"	"1999"	"35-44 years"	"35-44"	666	22669604	2.9
	"Female"	"F"	"1999"	"1999"	"45-54 years"	"45-54"	875	18632305	4.7
	"Female"	"F"	"1999"	"1999"	"55-64 years"	"55-64"	665	12378763	5.4
	"Female"	"F"	"1999"	"1999"	"65-74 years"	"65-74"	438	10125424	4.3
	"Female"	"F"	"1999"	"1999"	"75-84 years"	"75-84"	251	7411198	3.4
	"Female"	"F"	"1999"	"1999"	"85+ years"	"85+"	45	2960708	1.5
	"Female"	"F"	"2000"	"2000"	"15-24 years"	"15-24"	3	19105073	Unreliable
	"Female"	"F"	"2000"	"2000"	"25-34 years"	"25-34"	77	19771195	0.4
	"Female"	"F"	"2000"	"2000"	"35-44 years"	"35-44"	693	22700729	3.1
	"Female"	"F"	"2000"	"2000"	"45-54 years"	"45-54"	920	19180722	4.8
	"Female"	"F"	"2000"	"2000"	"55-64 years"	"55-64"	753	12629328	6.0
	"Female"	"F"	"2000"	"2000"	"65-74 years"	"65-74"	458	10087712	4.5
	"Female"	"F"	"2000"	"2000"	"75-84 years"	"75-84"	190	7481827	2.5
	"Female"	"F"	"2000"	"2000"	"85+ years"	"85+"	30	3012589	1.0
	"Female"	"F"	"2001"	"2001"	"15-24 years"	"15-24"	3	19585847	Unreliable
	"Female"	"F"	"2001"	"2001"	"25-34 years"	"25-34"	85	19567043	0.4
	"Female"	"F"	"2001"	"2001"	"35-44 years"	"35-44"	699	22642429	3.1
	"Female"	"F"	"2001"	"2001"	"45-54 years"	"45-54"	1104	20047081	5.5
	"Female"	"F"	"2001"	"2001"	"55-64 years"	"55-64"	671	13043566	5.1
	"Female"	"F"	"2001"	"2001"	"65-74 years"	"65-74"	469	10043126	4.7
	"Female"	"F"	"2001"	"2001"	"75-84 years"	"75-84"	212	7589733	2.8
	"Female"	"F"	"2001"	"2001"	"85+ years"	"85+"	32	3051430	1.0
	"Female"	"F"	"2002"	"2002"	"15-24 years"	"15-24"	2	19898124	Unreliable
	"Female"	"F"	"2002"	"2002"	"25-34 years"	"25-34"	80	19518779	0.4
	"Female"	"F"	"2002"	"2002"	"35-44 years"	"35-44"	666	22439455	3.0
	"Female"	"F"	"2002"	"2002"	"45-54 years"	"45-54"	1063	20357603	5.2
	"Female"	"F"	"2002"	"2002"	"55-64 years"	"55-64"	746	13853658	5.4
	"Female"	"F"	"2002"	"2002"	"65-74 years"	"65-74"	482	10016658	4.8
	"Female"	"F"	"2002"	"2002"	"75-84 years"	"75-84"	235	7664104	3.1
	"Female"	"F"	"2002"	"2002"	"85+ years"	"85+"	33	3077446	1.1
	"Female"	"F"	"2003"	"2003"	"15-24 years"	"15-24"	3	20180290	Unreliable
	"Female"	"F"	"2003"	"2003"	"25-34 years"	"25-34"	61	19500922	0.3
	"Female"	"F"	"2003"	"2003"	"35-44 years"	"35-44"	654	22206703	2.9
	"Female"	"F"	"2003"	"2003"	"45-54 years"	"45-54"	1060	20776919	5.1
	"Female"	"F"	"2003"	"2003"	"55-64 years"	"55-64"	788	14519419	5.4
	"Female"	"F"	"2003"	"2003"	"65-74 years"	"65-74"	445	10048202	4.4
	"Female"	"F"	"2003"	"2003"	"75-84 years"	"75-84"	211	7713157	2.7
	"Female"	"F"	"2003"	"2003"	"85+ years"	"85+"	34	3127975	1.1
	"Female"	"F"	"2004"	"2004"	"15-24 years"	"15-24"	3	20433434	Unreliable
	"Female"	"F"	"2004"	"2004"	"25-34 years"	"25-34"	61	19520225	0.3
	"Female"	"F"	"2004"	"2004"	"35-44 years"	"35-44"	604	22015734	2.7
	"Female"	"F"	"2004"	"2004"	"45-54 years"	"45-54"	1216	21184129	5.7
	"Female"	"F"	"2004"	"2004"	"55-64 years"	"55-64"	844	15185747	5.6
	"Female"	"F"	"2004"	"2004"	"65-74 years"	"65-74"	449	10110363	4.4
	"Female"	"F"	"2004"	"2004"	"75-84 years"	"75-84"	182	7738742	2.4
	"Female"	"F"	"2004"	"2004"	"85+ years"	"85+"	33	3166584	1.0
	"Female"	"F"	"2005"	"2005"	"15-24 years"	"15-24"	1	20657595	Unreliable
	"Female"	"F"	"2005"	"2005"	"25-34 years"	"25-34"	70	19547698	0.4
	"Female"	"F"	"2005"	"2005"	"35-44 years"	"35-44"	617	21865343	2.8
	"Female"	"F"	"2005"	"2005"	"45-54 years"	"45-54"	1216	21614529	5.6
	"Female"	"F"	"2005"	"2005"	"55-64 years"	"55-64"	871	15868410	5.5
	"Female"	"F"	"2005"	"2005"	"65-74 years"	"65-74"	492	10198569	4.8
	"Female"	"F"	"2005"	"2005"	"75-84 years"	"75-84"	210	7753835	2.7
	"Female"	"F"	"2005"	"2005"	"85+ years"	"85+"	26	3249455	0.8
	"Female"	"F"	"2006"	"2006"	"15-24 years"	"15-24"	8	20836077	Unreliable
	"Female"	"F"	"2006"	"2006"	"25-34 years"	"25-34"	70	19626340	0.4
	"Female"	"F"	"2006"	"2006"	"35-44 years"	"35-44"	610	21727611	2.8
	"Female"	"F"	"2006"	"2006"	"45-54 years"	"45-54"	1267	22011575	5.8
	"Female"	"F"	"2006"	"2006"	"55-64 years"	"55-64"	953	16532054	5.8
	"Female"	"F"	"2006"	"2006"	"65-74 years"	"65-74"	426	10350638	4.1
	"Female"	"F"	"2006"	"2006"	"75-84 years"	"75-84"	235	7732685	3.0
	"Female"	"F"	"2006"	"2006"	"85+ years"	"85+"	38	3347539	1.1
	"Female"	"F"	"2007"	"2007"	"15-24 years"	"15-24"	9	21001489	Unreliable
	"Female"	"F"	"2007"	"2007"	"25-34 years"	"25-34"	92	19788593	0.5
	"Female"	"F"	"2007"	"2007"	"35-44 years"	"35-44"	614	21502002	2.9
	"Female"	"F"	"2007"	"2007"	"45-54 years"	"45-54"	1446	22337962	6.5
	"Female"	"F"	"2007"	"2007"	"55-64 years"	"55-64"	1015	17148671	5.9
	"Female"	"F"	"2007"	"2007"	"65-74 years"	"65-74"	454	10595802	4.3
	"Female"	"F"	"2007"	"2007"	"75-84 years"	"75-84"	193	7694491	2.5
	"Female"	"F"	"2007"	"2007"	"85+ years"	"85+"	34	3446309	1.0
	"Female"	"F"	"2008"	"2008"	"15-24 years"	"15-24"	10	21144714	Unreliable
	"Female"	"F"	"2008"	"2008"	"25-34 years"	"25-34"	106	20019411	0.5
	"Female"	"F"	"2008"	"2008"	"35-44 years"	"35-44"	620	21195733	2.9
	"Female"	"F"	"2008"	"2008"	"45-54 years"	"45-54"	1487	22597536	6.6
	"Female"	"F"	"2008"	"2008"	"55-64 years"	"55-64"	1077	17681763	6.1
	"Female"	"F"	"2008"	"2008"	"65-74 years"	"65-74"	500	11004244	4.5
	"Female"	"F"	"2008"	"2008"	"75-84 years"	"75-84"	204	7656443	2.7
	"Female"	"F"	"2008"	"2008"	"85+ years"	"85+"	43	3533026	1.2
	"Female"	"F"	"2009"	"2009"	"15-24 years"	"15-24"	1	21263984	Unreliable
	"Female"	"F"	"2009"	"2009"	"25-34 years"	"25-34"	108	20267430	0.5
	"Female"	"F"	"2009"	"2009"	"35-44 years"	"35-44"	600	20841610	2.9
	"Female"	"F"	"2009"	"2009"	"45-54 years"	"45-54"	1643	22797854	7.2
	"Female"	"F"	"2009"	"2009"	"55-64 years"	"55-64"	1219	18329541	6.7
	"Female"	"F"	"2009"	"2009"	"65-74 years"	"65-74"	484	11375157	4.3
	"Female"	"F"	"2009"	"2009"	"75-84 years"	"75-84"	213	7590640	2.8
	"Female"	"F"	"2009"	"2009"	"85+ years"	"85+"	33	3631954	0.9
	"Female"	"F"	"2010"	"2010"	"15-24 years"	"15-24"	12	21308500	Unreliable
	"Female"	"F"	"2010"	"2010"	"25-34 years"	"25-34"	143	20431857	0.7
	"Female"	"F"	"2010"	"2010"	"35-44 years"	"35-44"	599	20634607	2.9
	"Female"	"F"	"2010"	"2010"	"45-54 years"	"45-54"	1741	22864357	7.6
	"Female"	"F"	"2010"	"2010"	"55-64 years"	"55-64"	1293	18881581	6.8
	"Female"	"F"	"2010"	"2010"	"65-74 years"	"65-74"	532	11616910	4.6
	"Female"	"F"	"2010"	"2010"	"75-84 years"	"75-84"	196	7584360	2.6
	"Female"	"F"	"2010"	"2010"	"85+ years"	"85+"	33	3703754	0.9
	"Female"	"F"	"2011"	"2011"	"15-24 years"	"15-24"	5	21366229	Unreliable
	"Female"	"F"	"2011"	"2011"	"25-34 years"	"25-34"	157	20746335	0.8
	"Female"	"F"	"2011"	"2011"	"35-44 years"	"35-44"	631	20404484	3.1
	"Female"	"F"	"2011"	"2011"	"45-54 years"	"45-54"	1867	22698956	8.2
	"Female"	"F"	"2011"	"2011"	"55-64 years"	"55-64"	1498	19703935	7.6
	"Female"	"F"	"2011"	"2011"	"65-74 years"	"65-74"	507	12005425	4.2
	"Female"	"F"	"2011"	"2011"	"75-84 years"	"75-84"	204	7602197	2.7
	"Female"	"F"	"2011"	"2011"	"85+ years"	"85+"	33	3843148	0.9
	"Female"	"F"	"2012"	"2012"	"15-24 years"	"15-24"	4	21431588	Unreliable
	"Female"	"F"	"2012"	"2012"	"25-34 years"	"25-34"	164	20970529	0.8
	"Female"	"F"	"2012"	"2012"	"35-44 years"	"35-44"	597	20342813	2.9
	"Female"	"F"	"2012"	"2012"	"45-54 years"	"45-54"	1828	22461868	8.1
	"Female"	"F"	"2012"	"2012"	"55-64 years"	"55-64"	1512	19983308	7.6
	"Female"	"F"	"2012"	"2012"	"65-74 years"	"65-74"	639	12782530	5.0
	"Female"	"F"	"2012"	"2012"	"75-84 years"	"75-84"	210	7624484	2.8
	"Female"	"F"	"2012"	"2012"	"85+ years"	"85+"	43	3923297	1.1
	"Female"	"F"	"2013"	"2013"	"15-24 years"	"15-24"	8	21429247	Unreliable
	"Female"	"F"	"2013"	"2013"	"25-34 years"	"25-34"	207	21203096	1.0
	"Female"	"F"	"2013"	"2013"	"35-44 years"	"35-44"	608	20307429	3.0
	"Female"	"F"	"2013"	"2013"	"45-54 years"	"45-54"	1824	22198448	8.2
	"Female"	"F"	"2013"	"2013"	"55-64 years"	"55-64"	1616	20359676	7.9
	"Female"	"F"	"2013"	"2013"	"65-74 years"	"65-74"	645	13419124	4.8
	"Female"	"F"	"2013"	"2013"	"75-84 years"	"75-84"	193	7686002	2.5
	"Female"	"F"	"2013"	"2013"	"85+ years"	"85+"	54	3999007	1.4
	"Female"	"F"	"2014"	"2014"	"15-24 years"	"15-24"	8	21456371	Unreliable
	"Female"	"F"	"2014"	"2014"	"25-34 years"	"25-34"	243	21546290	1.1
	"Female"	"F"	"2014"	"2014"	"35-44 years"	"35-44"	703	20353904	3.5
	"Female"	"F"	"2014"	"2014"	"45-54 years"	"45-54"	1849	22033807	8.4
	"Female"	"F"	"2014"	"2014"	"55-64 years"	"55-64"	1942	20755699	9.4
	"Female"	"F"	"2014"	"2014"	"65-74 years"	"65-74"	707	14049245	5.0
	"Female"	"F"	"2014"	"2014"	"75-84 years"	"75-84"	220	7789312	2.8
	"Female"	"F"	"2014"	"2014"	"85+ years"	"85+"	50	4053362	1.2
	"Female"	"F"	"2015"	"2015"	"15-24 years"	"15-24"	6	21382495	Unreliable
	"Female"	"F"	"2015"	"2015"	"25-34 years"	"25-34"	250	21838064	1.1
	"Female"	"F"	"2015"	"2015"	"35-44 years"	"35-44"	778	20386206	3.8
	"Female"	"F"	"2015"	"2015"	"45-54 years"	"45-54"	2043	21889385	9.3
	"Female"	"F"	"2015"	"2015"	"55-64 years"	"55-64"	2128	21163072	10.1
	"Female"	"F"	"2015"	"2015"	"65-74 years"	"65-74"	806	14658169	5.5
	"Female"	"F"	"2015"	"2015"	"75-84 years"	"75-84"	247	7899603	3.1
	"Female"	"F"	"2015"	"2015"	"85+ years"	"85+"	55	4112863	1.3
	"Female"	"F"	"2016"	"2016"	"15-24 years"	"15-24"	12	21218116	Unreliable
	"Female"	"F"	"2016"	"2016"	"25-34 years"	"25-34"	298	22077505	1.3
	"Female"	"F"	"2016"	"2016"	"35-44 years"	"35-44"	838	20317393	4.1
	"Female"	"F"	"2016"	"2016"	"45-54 years"	"45-54"	2016	21680540	9.3
	"Female"	"F"	"2016"	"2016"	"55-64 years"	"55-64"	2256	21464106	10.5
	"Female"	"F"	"2016"	"2016"	"65-74 years"	"65-74"	947	15239221	6.2
	"Female"	"F"	"2016"	"2016"	"75-84 years"	"75-84"	246	8056660	3.1
	"Female"	"F"	"2016"	"2016"	"85+ years"	"85+"	52	4155488	1.3
	"Female"	"F"	"2017"	"2017"	"15-24 years"	"15-24"	3	21100662	Unreliable
	"Female"	"F"	"2017"	"2017"	"25-34 years"	"25-34"	293	22351311	1.3
	"Female"	"F"	"2017"	"2017"	"35-44 years"	"35-44"	831	20506270	4.1
	"Female"	"F"	"2017"	"2017"	"45-54 years"	"45-54"	1975	21468595	9.2
	"Female"	"F"	"2017"	"2017"	"55-64 years"	"55-64"	2376	21737855	10.9
	"Female"	"F"	"2017"	"2017"	"65-74 years"	"65-74"	974	15806306	6.2
	"Female"	"F"	"2017"	"2017"	"75-84 years"	"75-84"	256	8298676	3.1
	"Female"	"F"	"2017"	"2017"	"85+ years"	"85+"	68	4189013	1.6
	"Female"	"F"	"2018"	"2018"	"15-24 years"	"15-24"	3	20994345	Unreliable
	"Female"	"F"	"2018"	"2018"	"25-34 years"	"25-34"	333	22487065	1.5
	"Female"	"F"	"2018"	"2018"	"35-44 years"	"35-44"	896	20690288	4.3
	"Female"	"F"	"2018"	"2018"	"45-54 years"	"45-54"	1904	21090497	9.0
	"Female"	"F"	"2018"	"2018"	"55-64 years"	"55-64"	2497	21873773	11.4
	"Female"	"F"	"2018"	"2018"	"65-74 years"	"65-74"	1115	16246231	6.9
	"Female"	"F"	"2018"	"2018"	"75-84 years"	"75-84"	270	8659334	3.1
	"Female"	"F"	"2018"	"2018"	"85+ years"	"85+"	55	4218810	1.3
	"Male"	"M"	"1999"	"1999"	"15-24 years"	"15-24"	6	19815847	Unreliable
	"Male"	"M"	"1999"	"1999"	"25-34 years"	"25-34"	165	20233316	0.8
	"Male"	"M"	"1999"	"1999"	"35-44 years"	"35-44"	1520	22407073	6.8
	"Male"	"M"	"1999"	"1999"	"45-54 years"	"45-54"	2927	17945514	16.3
	"Male"	"M"	"1999"	"1999"	"55-64 years"	"55-64"	2194	11399263	19.2
	"Male"	"M"	"1999"	"1999"	"65-74 years"	"65-74"	1497	8293485	18.1
	"Male"	"M"	"1999"	"1999"	"75-84 years"	"75-84"	538	4813716	11.2
	"Male"	"M"	"1999"	"1999"	"85+ years"	"85+"	73	1193310	6.1
	"Male"	"M"	"2000"	"2000"	"15-24 years"	"15-24"	5	20078818	Unreliable
	"Male"	"M"	"2000"	"2000"	"25-34 years"	"25-34"	202	20120529	1.0
	"Male"	"M"	"2000"	"2000"	"35-44 years"	"35-44"	1533	22447798	6.8
	"Male"	"M"	"2000"	"2000"	"45-54 years"	"45-54"	2968	18497230	16.0
	"Male"	"M"	"2000"	"2000"	"55-64 years"	"55-64"	2216	11645356	19.0
	"Male"	"M"	"2000"	"2000"	"65-74 years"	"65-74"	1433	8303274	17.3
