"Notes"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	261	837239	31.2	36.7
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	274	868169	31.6	37.3
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	272	881197	30.9	35.6
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	273	894985	30.5	34.4
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	315	909017	34.7	39.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	332	923622	35.9	40.6
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	307	939170	32.7	36.7
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	339	953660	35.5	39.5
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	388	967201	40.1	42.9
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	431	979452	44.0	48.0
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	418	990474	42.2	45.1
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	444	997602	44.5	47.0
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	465	1014096	45.9	48.9
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2012"	"2012"	489	1027341	47.6	49.8
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2013"	"2013"	534	1040537	51.3	53.3
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2014"	"2014"	565	1054148	53.6	55.0
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2015"	"2015"	573	1066973	53.7	55.4
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2016"	"2016"	566	1079576	52.4	53.8
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2017"	"2017"	615	1090405	56.4	57.7
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2018"	"2018"	623	1101608	56.6	56.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	158	4512824	3.5	5.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	174	4679292	3.7	5.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	170	4961290	3.4	4.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	180	5185125	3.5	4.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	175	5402139	3.2	4.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	201	5615941	3.6	4.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	222	5840924	3.8	5.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	232	6067412	3.8	5.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	240	6287221	3.8	4.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	279	6505422	4.3	5.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	267	6716786	4.0	4.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	257	6875462	3.7	4.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	256	7079343	3.6	4.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2012"	"2012"	292	7359448	4.0	4.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2013"	"2013"	296	7599408	3.9	4.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2014"	"2014"	337	7947506	4.2	4.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2015"	"2015"	349	8273605	4.2	4.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2016"	"2016"	377	8436193	4.5	4.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2017"	"2017"	389	8780573	4.4	4.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2018"	"2018"	431	8958304	4.8	5.0
	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	1463	13631550	10.7	12.2
	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	1443	13788050	10.5	11.8
	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	1362	14047394	9.7	10.8
	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	1428	14256724	10.0	11.1
	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	1384	14468158	9.6	10.4
	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	1367	14701154	9.3	10.1
	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	1383	14954034	9.2	10.0
	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	1328	15205208	8.7	9.3
	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	1396	15449344	9.0	9.5
	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	1345	15687407	8.6	9.0
	"Female"	"F"	"Black or African American"	"2054-5"	"2009"	"2009"	1421	15914791	8.9	9.2
	"Female"	"F"	"Black or African American"	"2054-5"	"2010"	"2010"	1438	16079876	8.9	9.1
	"Female"	"F"	"Black or African American"	"2054-5"	"2011"	"2011"	1606	16325602	9.8	9.8
	"Female"	"F"	"Black or African American"	"2054-5"	"2012"	"2012"	1525	16544091	9.2	9.2
	"Female"	"F"	"Black or African American"	"2054-5"	"2013"	"2013"	1643	16752194	9.8	9.7
	"Female"	"F"	"Black or African American"	"2054-5"	"2014"	"2014"	1703	17003421	10.0	9.7
	"Female"	"F"	"Black or African American"	"2054-5"	"2015"	"2015"	1788	17236900	10.4	10.1
	"Female"	"F"	"Black or African American"	"2054-5"	"2016"	"2016"	1698	17418194	9.7	9.3
	"Female"	"F"	"Black or African American"	"2054-5"	"2017"	"2017"	1797	17655312	10.2	9.7
	"Female"	"F"	"Black or African American"	"2054-5"	"2018"	"2018"	1812	17808332	10.2	9.7
	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	9241	82446041	11.2	9.6
	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	9427	82625206	11.4	9.8
	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	9867	82999402	11.9	10.3
	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	10076	83262372	12.1	10.4
	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	10165	83525975	12.2	10.4
	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	10037	83802736	12.0	10.2
	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	10165	84122885	12.1	10.2
	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	10330	84434028	12.2	10.3
	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	10672	84702149	12.6	10.5
	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	10931	84939283	12.9	10.7
	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	11388	85147308	13.4	11.0
	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	11889	85280359	13.9	11.4
	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	12598	85561164	14.7	12.0
	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	13036	85777722	15.2	12.3
	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	13513	85953027	15.7	12.6
	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	14295	86100915	16.6	13.2
	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	15140	86271394	17.5	13.9
	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	15360	86398220	17.8	14.0
	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	15900	86423439	18.4	14.4
	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	16256	86454585	18.8	14.6
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	340	793442	42.9	52.4
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	331	824423	40.1	47.2
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	360	837022	43.0	50.8
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	388	850277	45.6	53.5
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	383	862516	44.4	50.8
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	384	876607	43.8	51.6
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	413	890720	46.4	52.8
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	403	904177	44.6	49.2
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	450	916104	49.1	54.4
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	471	926962	50.8	56.1
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	422	936390	45.1	48.5
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	481	942535	51.0	54.6
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	499	958899	52.0	55.9
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2012"	"2012"	570	971109	58.7	63.8
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2013"	"2013"	563	983860	57.2	59.9
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2014"	"2014"	540	997170	54.2	56.2
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2015"	"2015"	648	1010130	64.2	66.9
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2016"	"2016"	669	1021373	65.5	68.8
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2017"	"2017"	644	1030847	62.5	63.8
	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2018"	"2018"	727	1040105	69.9	71.1
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	240	4120877	5.8	8.2
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	238	4300859	5.5	8.0
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	245	4545300	5.4	7.8
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	268	4732567	5.7	7.8
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	274	4909993	5.6	7.6
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	304	5090159	6.0	7.7
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	343	5275116	6.5	8.9
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	346	5461597	6.3	8.0
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	330	5640819	5.9	7.4
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	350	5817983	6.0	7.5
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	376	5990181	6.3	7.5
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	413	6118011	6.8	8.1
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	414	6303224	6.6	7.6
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2012"	"2012"	454	6545337	6.9	8.2
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2013"	"2013"	490	6756993	7.3	8.5
	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2014"	"2014"	483	7065741	6.8	7.8
