parm,estimate,stderr,dof,t,p,min95,max95,male,univ,year
"0.male#0.univ#1.year3",.0614995,.00289215,1246,21.26428,7.413e-86,.05582548,.06717352,0,0,1
"0.male#0.univ#2.year3",.06476694,.00253155,1246,25.583941,2.25e-116,.05980038,.06973351,0,0,2
"0.male#0.univ#3.year3",.06152316,.00251811,1246,24.43227,4.93e-108,.05658295,.06646336,0,0,3
"0.male#0.univ#4.year3",.05877395,.00327816,1246,17.928963,3.974e-64,.05234263,.06520526,0,0,4
"0.male#0.univ#5.year3",.0663497,.00306249,1246,21.665311,1.364e-88,.0603415,.0723579,0,0,5
"0.male#0.univ#6.year3",.06099805,.00280006,1246,21.784527,2.077e-89,.05550469,.06649141,0,0,6
"0.male#0.univ#7.year3",.06608638,.00236871,1246,27.899679,1.77e-133,.06143927,.07073349,0,0,7
"0.male#1.univ#1.year3",.06899704,.00169542,1246,40.696039,5.10e-231,.06567084,.07232324,0,1,1
"0.male#1.univ#2.year3",.07085283,.00188715,1246,37.544914,5.54e-207,.06715049,.07455517,0,1,2
"0.male#1.univ#3.year3",.06564081,.00183586,1246,35.754825,2.91e-193,.06203909,.06924252,0,1,3
"0.male#1.univ#4.year3",.06663651,.002308,1246,28.872029,9.10e-141,.06210852,.07116449,0,1,4
"0.male#1.univ#5.year3",.07564792,.00221447,1246,34.160705,4.91e-181,.07130342,.07999243,0,1,5
"0.male#1.univ#6.year3",.0726489,.00215434,1246,33.72215,1.13e-177,.06842237,.07687543,0,1,6
"0.male#1.univ#7.year3",.06974265,.00193671,1246,36.01096,3.16e-195,.06594308,.07354221,0,1,7
"1.male#0.univ#1.year3",.02216265,.00167038,1246,13.268008,1.119e-37,.01888558,.02543972,1,0,1
"1.male#0.univ#2.year3",.02738595,.00194801,1246,14.058417,8.887e-42,.02356421,.03120769,1,0,2
"1.male#0.univ#3.year3",.02160579,.00179159,1246,12.059559,9.382e-32,.01809092,.02512066,1,0,3
"1.male#0.univ#4.year3",.02321335,.00222952,1246,10.411812,2.122e-24,.01883932,.02758738,1,0,4
"1.male#0.univ#5.year3",.02493379,.00205132,1246,12.155,3.313e-32,.02090937,.02895822,1,0,5
"1.male#0.univ#6.year3",.02675119,.0019425,1246,13.771514,2.864e-40,.02294025,.03056213,1,0,6
"1.male#0.univ#7.year3",.02643668,.00168203,1246,15.717164,6.400e-51,.02313677,.0297366,1,0,7
"1.male#1.univ#1.year3",.02823188,.00131128,1246,21.530021,1.149e-87,.02565932,.03080444,1,1,1
"1.male#1.univ#2.year3",.03247497,.00164744,1246,19.71243,1.662e-75,.02924292,.03570703,1,1,2
"1.male#1.univ#3.year3",.03419589,.00151716,1246,22.53946,1.246e-94,.03121943,.03717235,1,1,3
"1.male#1.univ#4.year3",.03281769,.00199232,1246,16.472068,2.638e-55,.02890901,.03672637,1,1,4
"1.male#1.univ#5.year3",.04272137,.00188549,1246,22.657956,1.858e-95,.03902229,.04642046,1,1,5
"1.male#1.univ#6.year3",.03489161,.00173977,1246,20.055349,9.270e-78,.03147842,.03830481,1,1,6
"1.male#1.univ#7.year3",.0351225,.00149811,1246,23.444575,5.47e-101,.03218341,.0380616,1,1,7
