Year	Locationabbr	Locationdesc	Class	Topic	Question	Response	Break_Out	Break_Out_Category	Sample_Size	Data_value	Confidence_limit_Low	Confidence_limit_High	Display_order	Data_value_unit	Data_value_type	Data_Value_Footnote_Symbol	Data_Value_Footnote	DataSource	ClassId	TopicId	LocationID	BreakoutID	BreakOutCategoryID	QuestionID	ResponseID	GeoLocation
2013	TX	Texas	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	153	6.0	4.7	7.2	33	%	Crude Prevalence			BRFSS	CLASS01	Topic30	48	EDUCA3	CAT5	_RFDRHV4	RESP046	(31.827240407, -99.426770206)
2013	ME	Maine	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	140	7.7	6.1	9.3	33	%	Crude Prevalence			BRFSS	CLASS01	Topic30	23	EDUCA3	CAT5	_RFDRHV4	RESP046	(45.254228894001, -68.985031336)
2011	WA	Washington	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	382	6.6	5.5	7.7	35	%	Crude Prevalence			BRFSS	CLASS01	Topic30	53	EDUCA4	CAT5	_RFDRHV4	RESP046	(47.522278629, -120.47001079)
2012	TN	Tennessee	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	56	3.1	2.0	4.2	2402	%	Crude Prevalence			BRFSS	CLASS01	Topic30	47	EDUCA2	CAT5	_RFDRHV4	RESP046	(35.68094058, -85.774490914)
2012	AR	Arkansas	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	17	3.8	1.7	5.9	2402	%	Crude Prevalence			BRFSS	CLASS01	Topic30	5	EDUCA1	CAT5	_RFDRHV4	RESP046	(34.748650124, -92.274490743)
2011	HI	Hawaii	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	16				29	%	Crude Prevalence	*	Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.	BRFSS	CLASS01	Topic30	15	EDUCA1	CAT5	_RFDRHV4	RESP046	(21.304850435, -157.857749403)
2013	TN	Tennessee	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	10				29	%	Crude Prevalence	*	Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.	BRFSS	CLASS01	Topic30	47	EDUCA1	CAT5	_RFDRHV4	RESP046	(35.68094058, -85.774490914)
2013	DC	District of Columbia	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	5				29	%	Crude Prevalence	*	Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.	BRFSS	CLASS01	Topic30	11	EDUCA1	CAT5	_RFDRHV4	RESP046	(38.890371385, -77.031961127)
2013	AZ	Arizona	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	College graduate	Education Attained	80	5.7	3.5	7.8	35	%	Crude Prevalence			BRFSS	CLASS01	Topic30	4	EDUCA4	CAT5	_RFDRHV4	RESP046	(34.86597028, -111.763811277)
2011	AR	Arkansas	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	73	6.3	4.1	8.5	31	%	Crude Prevalence			BRFSS	CLASS01	Topic30	5	EDUCA2	CAT5	_RFDRHV4	RESP046	(34.748650124, -92.274490743)
2012	KS	Kansas	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	21	4.0	2.0	6.0	2413	%	Crude Prevalence			BRFSS	CLASS01	Topic30	20	EDUCA1	CAT5	_RFDRHV4	RESP046	(38.3477403, -98.200781227)
2013	VT	Vermont	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	14				29	%	Crude Prevalence	*	Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.	BRFSS	CLASS01	Topic30	50	EDUCA1	CAT5	_RFDRHV4	RESP046	(43.625381239, -72.517640791)
2012	OK	Oklahoma	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	93	5.1	3.8	6.3	2414	%	Crude Prevalence			BRFSS	CLASS01	Topic30	40	EDUCA2	CAT5	_RFDRHV4	RESP046	(35.472031356, -97.521070214)
2012	HI	Hawaii	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	24	8.8	4.4	13.2	2408	%	Crude Prevalence			BRFSS	CLASS01	Topic30	15	EDUCA1	CAT5	_RFDRHV4	RESP046	(21.304850435, -157.857749403)
2013	HI	Hawaii	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	175	8.2	6.6	9.7	31	%	Crude Prevalence			BRFSS	CLASS01	Topic30	15	EDUCA2	CAT5	_RFDRHV4	RESP046	(21.304850435, -157.857749403)
2012	WI	Wisconsin	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	140	8.1	6.3	10.0	2398	%	Crude Prevalence			BRFSS	CLASS01	Topic30	55	EDUCA2	CAT5	_RFDRHV4	RESP046	(44.393191174, -89.816370742)
2011	PA	Pennsylvania	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	31	4.7	2.8	6.7	29	%	Crude Prevalence			BRFSS	CLASS01	Topic30	42	EDUCA1	CAT5	_RFDRHV4	RESP046	(40.793730152, -77.860700294)
2013	UT	Utah	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	159	5.6	4.6	6.6	31	%	Crude Prevalence			BRFSS	CLASS01	Topic30	49	EDUCA2	CAT5	_RFDRHV4	RESP046	(39.360700171, -111.587130635)
