Year	Locationabbr	Locationdesc	Class	Topic	Question	Response	Break_Out	Break_Out_Category	Sample_Size	Data_value	Confidence_limit_Low	Confidence_limit_High	Display_order	Data_value_unit	Data_value_type	Data_Value_Footnote_Symbol	Data_Value_Footnote	DataSource	ClassId	TopicId	LocationID	BreakoutID	BreakOutCategoryID	QuestionID	ResponseID	GeoLocation
2010	PR	Puerto Rico	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	16	2.4	1	3.9	1853	%	Crude Prevalence			BRFSS	CLASS01	Topic30	72	EDUCA2	CAT5	_RFDRHV3	RESP046	(18.220833, -66.590149)
2008	VI	Virgin Islands	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	35	7.8	4.6	11.1	2033	%	Crude Prevalence			BRFSS	CLASS01	Topic30	78	EDUCA3	CAT5	_RFDRHV3	RESP046	(18.335765, -64.896335)
2009	GU	Guam	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	16	5.9	2.7	9.2	2075	%	Crude Prevalence			BRFSS	CLASS01	Topic30	66	EDUCA3	CAT5	_RFDRHV3	RESP046	(13.444304, 144.793731)
2007	PR	Puerto Rico	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	28	5.4	3	7.8	1719	%	Crude Prevalence			BRFSS	CLASS01	Topic30	72	EDUCA3	CAT5	_RFDRHV3	RESP046	(18.220833, -66.590149)
2001	PR	Puerto Rico	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	44	5.4	3.4	7.4	971	%	Crude Prevalence			BRFSS	CLASS01	Topic30	72	EDUCA2	CAT5	_RFDRHVY	RESP046	(18.220833, -66.590149)
2003	VI	Virgin Islands	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	H.S. or G.E.D.	Education Attained	38	6.5	3.9	9.1	1044	%	Crude Prevalence			BRFSS	CLASS01	Topic30	78	EDUCA2	CAT5	_RFDRHV2	RESP046	(18.335765, -64.896335)
2002	GU	Guam	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	16	7.2	3.1	11.3	942	%	Crude Prevalence			BRFSS	CLASS01	Topic30	66	EDUCA3	CAT5	_RFDRHV2	RESP046	(13.444304, 144.793731)
2002	PR	Puerto Rico	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	23	2.9	1.4	4.4	900	%	Crude Prevalence			BRFSS	CLASS01	Topic30	72	EDUCA3	CAT5	_RFDRHV2	RESP046	(18.220833, -66.590149)
2008	PR	Puerto Rico	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	29	3.9	2.2	5.6	1855	%	Crude Prevalence			BRFSS	CLASS01	Topic30	72	EDUCA3	CAT5	_RFDRHV3	RESP046	(18.220833, -66.590149)
2005	PR	Puerto Rico	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Less than H.S.	Education Attained	27	4	1.9	6.1	935	%	Crude Prevalence			BRFSS	CLASS01	Topic30	72	EDUCA1	CAT5	_RFDRHV3	RESP046	(18.220833, -66.590149)
2006	VI	Virgin Islands	Alcohol Consumption	Heavy Drinking	Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)	Yes	Some post-H.S.	Education Attained	42	6	3.9	8.1	1815	%	Crude Prevalence			BRFSS	CLASS01	Topic30	78	EDUCA3	CAT5	_RFDRHV3	RESP046	(18.335765, -64.896335)
