"Notes"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"1999"	"1999"	21	849096	2.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2000"	"2000"	14	876118	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2001"	"2001"	14	918363	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2002"	"2002"	19	949615	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2003"	"2003"	16	977498	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2004"	"2004"	10	1000709	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2005"	"2005"	27	1022253	2.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2006"	"2006"	15	1042962	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2007"	"2007"	14	1065569	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2008"	"2008"	11	1091887	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2009"	"2009"	16	1119100	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2010"	"2010"	12	1141696	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2011"	"2011"	11	1143825	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2012"	"2012"	15	1179455	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2013"	"2013"	9	1195628	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2014"	"2014"	14	1237264	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2015"	"2015"	11	1271823	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2016"	"2016"	17	1285374	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2017"	"2017"	11	1318171	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"15-24 years"	"15-24"	"2018"	"2018"	11	1334888	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"1999"	"1999"	24	1051848	2.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2000"	"2000"	19	1078256	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2001"	"2001"	29	1142138	2.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2002"	"2002"	32	1194290	2.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2003"	"2003"	22	1235378	1.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2004"	"2004"	23	1273367	1.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2005"	"2005"	20	1310720	1.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2006"	"2006"	22	1349618	1.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2007"	"2007"	23	1378186	1.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2008"	"2008"	19	1400459	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2009"	"2009"	19	1418000	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2010"	"2010"	16	1426417	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2011"	"2011"	29	1450289	2.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2012"	"2012"	17	1507422	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2013"	"2013"	20	1552662	1.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2014"	"2014"	8	1624074	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2015"	"2015"	13	1692066	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2016"	"2016"	16	1717856	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2017"	"2017"	25	1778308	1.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"2018"	"2018"	21	1803960	1.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-44 years"	"35-44"	"1999"	"1999"	29	970862	3.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-44 years"	"35-44"	"2000"	"2000"	27	996105	2.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-44 years"	"35-44"	"2001"	"2001"	17	1035836	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-44 years"	"35-44"	"2002"	"2002"	23	1066265	2.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-44 years"	"35-44"	"2003"	"2003"	22	1101977	2.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-44 years"	"35-44"	"2004"	"2004"	13	1142566	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-44 years"	"35-44"	"2005"	"2005"	18	1185910	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-44 years"	"35-44"	"2006"	"2006"	20	1233766	1.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-44 years"	"35-44"	"2007"	"2007"	26	1283492	2.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-44 years"	"35-44"	"2008"	"2008"	16	1325464	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-44 years"	"35-44"	"2009"	"2009"	25	1363350	1.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-44 years"	"35-44"	"2010"	"2010"	20	1393984	1.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"35-44 years"	"35-44"	"2011"	"2011"	14	1432381	Unreliable
