"Notes"	"Gender"	"Gender Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"1999"	"1999"	129	2909067	4.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2000"	"2000"	112	3017378	3.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2001"	"2001"	117	3149694	3.7
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2002"	"2002"	118	3253690	3.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2003"	"2003"	146	3357905	4.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2004"	"2004"	110	3461703	3.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2005"	"2005"	118	3577781	3.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2006"	"2006"	133	3701886	3.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2007"	"2007"	122	3828229	3.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2008"	"2008"	129	3962357	3.3
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2009"	"2009"	123	4101469	3.0
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2010"	"2010"	108	4206060	2.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2011"	"2011"	97	4314296	2.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2012"	"2012"	97	4381583	2.2
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2013"	"2013"	107	4448802	2.4
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2014"	"2014"	120	4550960	2.6
	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"15-24 years"	"15-24"	"2015"	"2015"	111	4616696	2.4
