"sex"	"race"	"year0"	"ex"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
1	1	0	78.72	79.02	0.18	NA	0	0
1	1	1	80.02	79.09	0.18	NA	0	0
1	1	2	79.43	79.15	0.17	NA	0	0
1	1	3	79.33	79.21	0.17	NA	0	0
1	1	4	78.87	79.28	0.17	NA	0	0
1	1	5	79.30	79.34	0.17	NA	0	0
1	1	6	78.97	79.40	0.16	NA	0	0
1	1	7	79.27	79.47	0.16	NA	0	0
1	1	8	79.55	79.53	0.16	NA	0	0
1	1	9	79.61	79.59	0.16	NA	0	0
1	1	10	79.70	79.66	0.16	NA	0	0
1	1	11	79.49	79.72	0.15	NA	0	0
1	1	12	79.66	79.78	0.16	NA	0	0
1	1	13	80.12	79.85	0.16	NA	0	0
1	1	14	80.17	79.91	0.15	NA	0	0
1	1	15	79.88	79.97	0.15	NA	0	0
1	1	16	79.75	80.04	0.15	NA	0	0
1	1	17	80.06	80.10	0.16	NA	0	0
1	1	18	79.87	80.17	0.16	NA	0	0
1	1	19	80.85	80.23	0.16	NA	0	0
1	2	0	86.62	86.71	0.07	NA	1	1
1	2	1	86.98	86.91	0.07	NA	1	1
1	2	2	87.08	87.11	0.07	NA	1	1
1	2	3	87.34	87.31	0.07	NA	1	1
1	2	4	87.35	87.50	0.06	NA	1	1
1	2	5	87.85	87.70	0.06	NA	1	1
1	2	6	87.95	87.90	0.06	NA	1	1
1	2	7	88.14	88.10	0.06	NA	1	1
1	2	8	88.52	88.30	0.06	NA	1	1
1	2	9	88.29	88.50	0.06	NA	1	1
1	2	10	88.70	88.70	0.05	NA	1	1
1	2	11	88.81	88.90	0.05	NA	1	1
1	2	12	89.23	89.10	0.05	NA	1	1
1	2	13	89.12	89.31	0.05	NA	1	1
1	2	14	89.46	89.51	0.05	NA	1	1
1	2	15	89.98	89.71	0.05	Joinpoint 1	1	1
1	2	16	89.65	89.75	0.05	NA	1	1
1	2	17	89.74	89.78	0.05	NA	1	1
1	2	18	89.73	89.82	0.05	NA	1	1
1	2	19	89.96	89.85	0.05	NA	1	1
1	3	0	74.91	74.88	0.04	NA	2	2
1	3	1	75.01	75.05	0.04	NA	2	2
1	3	2	75.25	75.22	0.04	NA	2	2
1	3	3	75.31	75.39	0.04	NA	2	2
1	3	4	75.54	75.56	0.04	Joinpoint 1	2	2
1	3	5	75.97	75.90	0.04	NA	2	2
1	3	6	76.10	76.24	0.04	NA	2	2
1	3	7	76.59	76.58	0.04	NA	2	2
1	3	8	76.96	76.93	0.04	NA	2	2
1	3	9	77.30	77.27	0.04	NA	2	2
1	3	10	77.79	77.62	0.04	NA	2	2
1	3	11	78.06	77.97	0.04	NA	2	2
1	3	12	78.27	78.32	0.04	NA	2	2
1	3	13	78.60	78.68	0.04	Joinpoint 2	2	2
1	3	14	78.61	78.69	0.04	NA	2	2
1	3	15	78.78	78.71	0.04	NA	2	2
1	3	16	78.75	78.73	0.04	NA	2	2
1	3	17	78.62	78.75	0.04	NA	2	2
1	3	18	78.77	78.76	0.03	NA	2	2
1	3	19	78.84	78.78	0.03	NA	2	2
1	4	0	79.85	79.84	0.01	NA	2	2
1	4	1	79.87	79.88	0.01	NA	2	2
1	4	2	79.92	79.92	0.01	NA	2	2
1	4	3	79.94	79.95	0.01	Joinpoint 1	2	2
1	4	4	80.05	80.12	0.01	NA	2	2
1	4	5	80.40	80.28	0.01	NA	2	2
1	4	6	80.36	80.44	0.01	NA	2	2
1	4	7	80.65	80.60	0.01	NA	2	2
1	4	8	80.85	80.77	0.01	NA	2	2
1	4	9	80.80	80.93	0.01	NA	2	2
1	4	10	81.18	81.10	0.01	NA	2	2
1	4	11	81.20	81.26	0.01	Joinpoint 2	2	2
1	4	12	81.17	81.25	0.01	NA	2	2
1	4	13	81.30	81.24	0.01	NA	2	2
1	4	14	81.28	81.23	0.01	NA	2	2
1	4	15	81.33	81.22	0.01	NA	2	2
1	4	16	81.11	81.21	0.01	NA	2	2
1	4	17	81.18	81.20	0.01	NA	2	2
1	4	18	81.09	81.19	0.01	NA	2	2
1	4	19	81.26	81.18	0.01	NA	2	2
1	5	0	83.04	82.93	0.05	NA	1	1
1	5	1	83.28	83.15	0.05	NA	1	1
1	5	2	83.26	83.37	0.04	NA	1	1
1	5	3	83.55	83.60	0.04	NA	1	1
1	5	4	83.57	83.82	0.04	NA	1	1
1	5	5	84.22	84.05	0.04	NA	1	1
1	5	6	84.10	84.27	0.04	NA	1	1
1	5	7	84.42	84.50	0.04	NA	1	1
1	5	8	84.87	84.73	0.04	NA	1	1
1	5	9	84.83	84.95	0.04	NA	1	1
1	5	10	85.43	85.18	0.04	NA	1	1
1	5	11	85.44	85.41	0.04	NA	1	1
1	5	12	85.84	85.64	0.04	NA	1	1
1	5	13	85.83	85.87	0.04	NA	1	1
1	5	14	85.96	86.10	0.03	NA	1	1
1	5	15	86.34	86.33	0.03	Joinpoint 1	1	1
1	5	16	86.31	86.37	0.03	NA	1	1
1	5	17	86.39	86.41	0.03	NA	1	1
1	5	18	86.43	86.44	0.03	NA	1	1
1	5	19	86.51	86.48	0.03	NA	1	1
2	1	0	73.25	73.54	0.18	NA	0	0
2	1	1	74.20	73.56	0.18	NA	0	0
2	1	2	73.82	73.57	0.18	NA	0	0
2	1	3	73.44	73.59	0.18	NA	0	0
2	1	4	73.09	73.61	0.17	NA	0	0
2	1	5	73.57	73.63	0.17	NA	0	0
2	1	6	73.12	73.64	0.17	NA	0	0
2	1	7	73.62	73.66	0.17	NA	0	0
2	1	8	73.55	73.68	0.17	NA	0	0
2	1	9	73.62	73.70	0.17	NA	0	0
2	1	10	74.22	73.71	0.17	NA	0	0
2	1	11	73.64	73.73	0.16	NA	0	0
2	1	12	74.23	73.75	0.16	NA	0	0
2	1	13	74.10	73.77	0.17	NA	0	0
2	1	14	74.17	73.79	0.16	NA	0	0
2	1	15	73.93	73.80	0.16	NA	0	0
2	1	16	73.71	73.82	0.16	NA	0	0
2	1	17	73.43	73.84	0.16	NA	0	0
2	1	18	73.69	73.86	0.16	NA	0	0
2	1	19	73.72	73.87	0.17	NA	0	0
2	2	0	81.27	81.48	0.07	NA	1	1
2	2	1	81.55	81.74	0.07	NA	1	1
2	2	2	81.98	81.99	0.07	NA	1	1
2	2	3	82.20	82.25	0.07	NA	1	1
2	2	4	82.50	82.50	0.07	NA	1	1
2	2	5	83.08	82.76	0.07	NA	1	1
2	2	6	82.95	83.02	0.07	NA	1	1
2	2	7	83.29	83.28	0.06	NA	1	1
2	2	8	83.75	83.53	0.06	NA	1	1
2	2	9	83.99	83.79	0.06	NA	1	1
2	2	10	84.23	84.06	0.06	NA	1	1
2	2	11	84.10	84.32	0.06	NA	1	1
2	2	12	84.65	84.58	0.06	NA	1	1
2	2	13	84.81	84.84	0.06	NA	1	1
2	2	14	84.70	85.11	0.06	NA	1	1
2	2	15	85.54	85.37	0.06	Joinpoint 1	1	1
2	2	16	85.36	85.39	0.05	NA	1	1
2	2	17	85.47	85.40	0.05	NA	1	1
2	2	18	85.35	85.42	0.05	NA	1	1
2	2	19	85.47	85.44	0.05	NA	1	1
2	3	0	67.79	67.81	0.04	NA	3	3
2	3	1	68.11	68.09	0.04	NA	3	3
2	3	2	68.45	68.37	0.04	NA	3	3
2	3	3	68.63	68.65	0.04	NA	3	3
2	3	4	68.78	68.94	0.04	NA	3	3
2	3	5	69.34	69.22	0.04	NA	3	3
2	3	6	69.41	69.51	0.04	NA	3	3
2	3	7	69.79	69.79	0.04	Joinpoint 1	3	3
2	3	8	70.25	70.28	0.04	NA	3	3
2	3	9	70.85	70.78	0.04	NA	3	3
2	3	10	71.36	71.27	0.04	NA	3	3
2	3	11	71.82	71.77	0.04	NA	3	3
2	3	12	72.19	72.27	0.04	Joinpoint 2	3	3
2	3	13	72.34	72.36	0.04	NA	3	3
2	3	14	72.38	72.44	0.04	NA	3	3
2	3	15	72.65	72.52	0.04	Joinpoint 3	3	3
2	3	16	72.37	72.37	0.04	NA	3	3
2	3	17	72.07	72.21	0.04	NA	3	3
2	3	18	72.00	72.06	0.04	NA	3	3
2	3	19	72.02	71.90	0.04	NA	3	3
2	4	0	74.67	74.57	0.01	NA	1	1
2	4	1	74.77	74.74	0.01	NA	1	1
2	4	2	74.91	74.91	0.01	NA	1	1
2	4	3	74.94	75.08	0.01	NA	1	1
2	4	4	75.14	75.25	0.01	NA	1	1
2	4	5	75.54	75.43	0.01	NA	1	1
2	4	6	75.52	75.60	0.01	NA	1	1
2	4	7	75.80	75.77	0.02	NA	1	1
2	4	8	76.02	75.94	0.02	NA	1	1
2	4	9	76.03	76.11	0.01	NA	1	1
2	4	10	76.40	76.29	0.01	NA	1	1
2	4	11	76.46	76.46	0.01	NA	1	1
2	4	12	76.49	76.64	0.01	Joinpoint 1	1	1
2	4	13	76.64	76.59	0.01	NA	1	1
2	4	14	76.62	76.55	0.01	NA	1	1
2	4	15	76.63	76.51	0.01	NA	1	1
2	4	16	76.46	76.47	0.01	NA	1	1
2	4	17	76.33	76.43	0.02	NA	1	1
2	4	18	76.26	76.38	0.02	NA	1	1
2	4	19	76.44	76.34	0.01	NA	1	1
2	5	0	77.23	76.94	0.05	NA	1	1
2	5	1	77.42	77.24	0.05	NA	1	1
2	5	2	77.60	77.53	0.05	NA	1	1
2	5	3	77.71	77.83	0.05	NA	1	1
2	5	4	77.95	78.13	0.05	NA	1	1
2	5	5	78.60	78.43	0.05	NA	1	1
2	5	6	78.21	78.73	0.04	NA	1	1
2	5	7	78.88	79.03	0.04	NA	1	1
2	5	8	79.30	79.34	0.04	NA	1	1
2	5	9	79.70	79.64	0.04	NA	1	1
2	5	10	80.12	79.95	0.04	NA	1	1
2	5	11	80.16	80.26	0.04	NA	1	1
2	5	12	80.84	80.56	0.04	NA	1	1
2	5	13	80.89	80.87	0.04	NA	1	1
2	5	14	81.01	81.18	0.04	Joinpoint 1	1	1
2	5	15	81.27	81.16	0.04	NA	1	1
2	5	16	81.21	81.13	0.04	NA	1	1
2	5	17	81.06	81.11	0.04	NA	1	1
2	5	18	81.07	81.08	0.04	NA	1	1
2	5	19	81.05	81.06	0.04	NA	1	1
