parm,estimate,stderr,dof,t,p,min95,max95,male,univ,year
"0.male#0.univ#1.year3",.25558823,.00518072,1246,49.334532,2.73e-295,.24542434,.26575212,0,0,1
"0.male#0.univ#2.year3",.25699548,.0048973,1246,52.476941,7.43e-318,.24738761,.26660335,0,0,2
"0.male#0.univ#3.year3",.25234199,.00544565,1246,46.33827,2.45e-273,.24165833,.26302564,0,0,3
"0.male#0.univ#4.year3",.24162219,.00662418,1246,36.475767,8.61e-199,.2286264,.25461797,0,0,4
"0.male#0.univ#5.year3",.25341325,.00541518,1246,46.796864,1.01e-276,.24278938,.26403711,0,0,5
"0.male#0.univ#6.year3",.25787156,.004955,1246,52.042692,9.12e-315,.2481505,.26759263,0,0,6
"0.male#0.univ#7.year3",.27206866,.00445765,1246,61.034136,0,.26332334,.28081398,0,0,7
"0.male#1.univ#1.year3",.33321451,.00319992,1246,104.13204,0,.32693668,.33949234,0,1,1
"0.male#1.univ#2.year3",.34056342,.00367722,1246,92.614326,0,.33334919,.34777765,0,1,2
"0.male#1.univ#3.year3",.34956945,.00365066,1246,95.755054,0,.34240732,.35673157,0,1,3
"0.male#1.univ#4.year3",.35108444,.00461654,1246,76.049339,0,.3420274,.36014148,0,1,4
"0.male#1.univ#5.year3",.371214,.00435987,1246,85.143306,0,.36266049,.3797675,0,1,5
"0.male#1.univ#6.year3",.37556279,.00422994,1246,88.786851,0,.3672642,.38386137,0,1,6
"0.male#1.univ#7.year3",.39113383,.00392415,1246,99.673644,0,.38343517,.39883249,0,1,7
"1.male#0.univ#1.year3",.21849985,.00537102,1246,40.681242,6.60e-231,.2079626,.2290371,1,0,1
"1.male#0.univ#2.year3",.23260365,.00452282,1246,51.428863,2.20e-310,.22373046,.24147684,1,0,2
"1.male#0.univ#3.year3",.21796789,.00451036,1246,48.326083,6.01e-288,.20911915,.22681662,1,0,3
"1.male#0.univ#4.year3",.22699236,.00615742,1246,36.86484,8.97e-202,.2149123,.23907242,1,0,4
"1.male#0.univ#5.year3",.22707389,.00515098,1246,44.08362,1.45e-256,.21696834,.23717945,1,0,5
"1.male#0.univ#6.year3",.23806903,.00487615,1246,48.823202,1.42e-291,.22850267,.24763539,1,0,6
"1.male#0.univ#7.year3",.2483116,.00457738,1246,54.24758,0,.23933139,.25729182,1,0,7
"1.male#1.univ#1.year3",.30836339,.00389587,1246,79.151277,0,.30072019,.31600658,1,1,1
"1.male#1.univ#2.year3",.31340828,.00393481,1246,79.650164,0,.30568869,.32112786,1,1,2
"1.male#1.univ#3.year3",.32070335,.00448661,1246,71.480143,0,.31190121,.32950549,1,1,3
"1.male#1.univ#4.year3",.30829073,.0049147,1246,62.728255,0,.29864873,.31793274,1,1,4
"1.male#1.univ#5.year3",.34609517,.00457756,1246,75.606838,0,.33711459,.35507576,1,1,5
"1.male#1.univ#6.year3",.33582329,.00452665,1246,74.188075,0,.32694259,.34470398,1,1,6
"1.male#1.univ#7.year3",.35938429,.0043803,1246,82.045538,0,.35079071,.36797788,1,1,7
