sex,race,age,de,ie,te,mx2010,mx2018,pctgap
1,1,1,.00025320312,.022210859,.022464061,.0057882192,.006072551,-.016486742
1,1,2,-.00078725861,-.029543368,-.030330626,.00038525439,.00028613047,.022260142
1,1,3,.0051093348,.066619098,.071728431,.0001737393,.00027690284,-.052642666
1,1,4,-.0021756338,-.024202356,-.026377991,.00070670719,.00066244701,.019359238
1,1,5,.020687597,.19182749,.21251509,.0014641371,.001891888,-.15596829
1,1,6,.03045091,.2274977,.25794861,.0023673321,.0030154609,-.1893127
1,1,7,.027202817,.15699041,.18419322,.0045328951,.0051423181,-.13518241
1,1,8,.01748566,.07289701,.090382665,.0080032069,.0084293392,-.066333316
1,1,9,-.0773964,-.21761532,-.29501173,.018417422,.016182359,.21651393
1,1,10,-.1316379,-.23443426,-.36607218,.042207688,.036777657,.26866636
1,1,11,-1.4839927,0,-1.4839927,.11230284,.083324276,1.0891265
1,1,12,-1.5948004,.23224728,-1.3625531,,,1
1,2,1,.00026484375,.025933275,.026198119,.003434066,.0037302454,-.022963416
1,2,2,-.00018931071,-.0079675782,-.0081568891,.00016007302,.00013631377,.0071497513
1,2,3,.00075379456,.011188894,.011942688,.000082839186,.000097992415,-.010468115
1,2,4,.0013199074,.016993975,.018313883,.0001734262,.00020001677,-.016052654
1,2,5,-.00012526808,-.0013643441,-.0014896123,.00027691762,.00027439633,.0013056886
1,2,6,.0013770253,.012326019,.013703045,.00048565838,.0005136134,-.012011118
1,2,7,-.0033004924,-.02328945,-.026589941,.0012842452,.0012163781,.02330686
1,2,8,-.0021635005,-.011335759,-.01349926,.0029942722,.0029484832,.011832495
1,2,9,-.043837242,-.15730378,-.20114103,.0078887576,.00689094,.17630598
1,2,10,-.09254802,-.21404293,-.30659094,.024552301,.021937214,.26873592
1,2,11,-.65355337,0,-.65355337,.086476423,.080079712,.57285863
1,2,12,-.79200161,-.34886169,-1.1408633,,,1
1,3,1,-.00085882813,-.074317127,-.075175956,.010557425,.0095858341,.096640028
1,3,2,-.00011483933,-.0042483825,-.004363222,.00034761312,.0003331179,.0056089996
1,3,3,.0017334386,.022217987,.023951426,.00015474942,.0001898591,-.030789984
1,3,4,.0025379125,.027596479,.030134391,.00045583205,.00050749595,-.038738295
1,3,5,.0056067463,.050302438,.055909187,.00099142373,.0011067922,-.071872257
1,3,6,.0038133375,.027227268,.031040605,.002091324,.0021715087,-.03990325
1,3,7,-.018583914,-.10134208,-.119926,.0049740784,.0045642108,.15416701
1,3,8,.0036260795,.014214661,.017840741,.0099694086,.010057453,-.022934591
1,3,9,-.0444897,-.11540143,-.15989113,.020680508,.019369194,.20554289
1,3,10,-.087847002,-.13760798,-.22545499,.046755079,.042862464,.28982639
1,3,11,-.3519617,0,-.3519617,.12767741,.11578525,.45245305
1,3,12,-.48653847,-.29135817,-.77789664,,,1
1,4,1,-.00057617185,-.051593091,-.052169263,.0048042615,.0041589551,.99268562
1,4,2,-.0002301771,-.0088290246,-.0090592019,.00021773386,.00018879843,.17238003
1,4,3,-.00018144169,-.0024271319,-.0026085735,.00010865248,.00010498695,.049636379
1,4,4,.001270492,.014477198,.015747691,.00038369745,.00040935332,-.29964975
1,4,5,.010201769,.096563615,.10676538,.00066847325,.00087617274,-2.0315499
1,4,6,.0089809727,.068066314,.077047288,.0013310809,.0015167277,-1.4660689
1,4,7,.0046522757,.026913416,.031565692,.0030771322,.0031764351,-.60063738
1,4,8,.018725814,.076708756,.095434569,.0063145836,.0067410846,-1.8159451
1,4,9,-.036613289,-.095615529,-.13222882,.015359249,.0143936,2.5160725
1,4,10,-.082958043,-.12250625,-.20546429,.042326152,.039153907,3.9096093
1,4,11,.022415854,0,.022415854,.13543479,.13624638,-.42653269
1,4,12,-.054311939,.00175827,-.052553661,,,1
1,5,1,-.00053703127,-.05062297,-.05116,.0046285489,.004027186,.047661107
1,5,2,-.00028721479,-.011605564,-.011892779,.00020216858,.00016612183,.011079418
1,5,3,.00046044315,.0065344665,.0069949096,.000089453555,.000098713317,-.0065165195
1,5,4,.0015372863,.018803053,.020340338,.00026295392,.00029396845,-.018949239
1,5,5,.0056095426,.057623636,.063233182,.00038871748,.00050237164,-.058908589
1,5,6,.0039003785,.03254389,.036444269,.00075245451,.00083217403,-.0339518
1,5,7,-.0056504128,-.036652084,-.042302497,.0019386922,.0018209902,.039409377
1,5,8,-.0068832873,-.032618858,-.039502144,.0045006038,.0043508895,.036800545
1,5,9,-.024200428,-.076669104,-.10086954,.010854939,.010271634,.093970947
1,5,10,-.06993179,-.13662134,-.20655313,.03067404,.028453628,.19242671
1,5,11,-.74814463,0,-.74814463,.10237345,.091168128,.69697809
1,5,12,-.84412712,-.22928488,-1.0734119,,,1
2,1,1,-.00053312501,-.043402337,-.043935463,.0086065968,.0080053369,.54217875
2,1,2,-.00048102933,-.016713966,-.017194996,.00061367068,.000552868,.21219216
2,1,3,-.0031439145,-.037507966,-.04065188,.00030506693,.000241364,.5016582
2,1,4,-.0027467872,-.027841363,-.03058815,.0018877212,.0018310535,.37746829
2,1,5,.049371172,.4146567,.46402788,.0028227076,.0038755282,-5.7262635
2,1,6,.051465902,.34646687,.39793277,.0044044699,.0055637574,-4.9106274
2,1,7,.06106222,.31486934,.37593156,.0071427752,.0086384462,-4.6391249
2,1,8,.067680381,.25069687,.31837726,.012360356,.01426327,-3.928885
2,1,9,-.016522851,-.040550988,-.057073839,.024360392,.023769083,.70431083
2,1,10,-.11508641,-.17658402,-.29167044,.054160405,.047605015,3.5993135
2,1,11,-1.1561897,0,-1.1561897,.13034736,.090314634,14.267778
2,1,12,-1.0651242,.98408914,-.081035018,,,1
2,2,1,.00011984375,.011118354,.011238198,.0043594483,.0044936924,-.0082207406
2,2,2,-.00013915326,-.0055339187,-.0056730718,.00020818105,.00019068435,.0041498514
2,2,3,.0010663724,.014837911,.015904283,.000087787179,.00010924557,-.011633981
2,2,4,.0017350498,.0207785,.02251355,.00042244638,.00045752226,-.016468659
2,2,5,.0032339736,.032449163,.035683136,.00053067564,.00059643009,-.026102209
2,2,6,.004496275,.0364662,.040962476,.00084566901,.00093793985,-.029964047
2,2,7,.0025712766,.016104769,.018676046,.0021449185,.0021988482,-.013661525
2,2,8,.0075757653,.034419276,.041995041,.0051620747,.0053295307,-.030719368
2,2,9,-.031508218,-.094691038,-.12619926,.012236443,.011453856,.092314743
2,2,10,-.1160671,-.2133418,-.32940891,.034389734,.030497603,.24096258
2,2,11,-1.0927457,0,-1.0927457,.10880848,.09061987,.79934335
2,2,12,-1.2196616,-.14739257,-1.3670542,,,1
2,3,1,-.00085148436,-.067864403,-.068715885,.012815204,.011848028,.34445471
