sex,race,year0,ex,se_ex
1,1,0,78.715782,.1760826
1,1,0,55.107948,.1635505
1,1,0,19.880341,.14593109
1,1,1,80.016212,.17737493
1,1,1,56.277718,.16696374
1,1,1,20.934668,.15121333
1,1,2,79.43457,.17372024
1,1,2,55.800816,.16238186
1,1,2,20.629074,.14614052
1,1,3,79.330643,.17084825
1,1,3,55.687027,.15948637
1,1,3,20.541595,.14308393
1,1,4,78.867699,.1650086
1,1,4,55.113003,.15418585
1,1,4,20.253525,.13631929
1,1,5,79.296623,.16736023
1,1,5,55.666706,.15578236
1,1,5,20.681963,.13801116
1,1,6,78.97123,.16129589
1,1,6,55.300552,.14979599
1,1,6,20.226458,.13199593
1,1,7,79.274261,.16070969
1,1,7,55.551861,.14962173
1,1,7,20.490694,.13165641
1,1,8,79.553932,.16028659
1,1,8,55.863457,.14878888
1,1,8,20.835918,.1308793
1,1,9,79.609062,.15911205
1,1,9,55.91325,.14755319
1,1,9,21.002554,.12789525
1,1,10,79.697868,.16071312
1,1,10,56.090679,.14853323
1,1,10,21.449999,.12874568
1,1,11,79.490219,.15292189
1,1,11,55.617397,.14231019
1,1,11,20.844337,.12148283
1,1,12,79.658577,.15516965
1,1,12,55.925797,.14328684
1,1,12,21.389246,.12123129
1,1,13,80.121262,.15712197
1,1,13,56.360706,.14551806
1,1,13,21.880037,.1231668
1,1,14,80.172981,.1533419
1,1,14,56.253376,.14298452
1,1,14,21.989794,.1187157
1,1,15,79.878128,.15344352
1,1,15,56.094208,.14161338
1,1,15,21.945347,.11644087
1,1,16,79.750099,.15427211
1,1,16,56.07267,.14133479
1,1,16,22.114124,.11490677
1,1,17,80.063034,.15723678
1,1,17,56.448105,.14394335
1,1,17,22.745083,.1161567
1,1,18,79.867996,.15659654
1,1,18,56.232128,.14307304
1,1,18,22.810118,.11322936
1,1,19,80.852776,.15586089
1,1,19,57.040867,.14361179
1,1,19,23.468142,.11414216
1,2,0,86.617928,.073058866
1,2,0,62.339275,.068299264
1,2,0,24.613689,.062115438
1,2,1,86.983276,.070983723
1,2,1,62.673817,.066317074
1,2,1,24.895384,.060189076
1,2,2,87.075439,.068374418
1,2,2,62.728432,.064367995
1,2,2,24.929598,.058599502
1,2,3,87.337227,.066127062
1,2,3,62.975037,.062050242
1,2,3,25.080633,.056589618
