"Notes"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"15-24 years"	"15-24"	"1999"	"1999"	1	2909067	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2000"	"2000"	1	3017378	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2001"	"2001"	1	3149694	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2002"	"2002"	0	3253690	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2003"	"2003"	0	3357905	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2004"	"2004"	1	3461703	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2005"	"2005"	4	3577781	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2006"	"2006"	4	3701886	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2007"	"2007"	8	3828229	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2008"	"2008"	3	3962357	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2009"	"2009"	1	4101469	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2010"	"2010"	1	4206060	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2011"	"2011"	5	4314296	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2012"	"2012"	2	4381583	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2013"	"2013"	3	4448802	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2014"	"2014"	0	4550960	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2015"	"2015"	4	4616696	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2016"	"2016"	3	4661453	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2017"	"2017"	4	4734211	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"2018"	"2018"	5	4786228	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"1999"	"1999"	2	2925524	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2000"	"2000"	2	3016025	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2001"	"2001"	7	3156431	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2002"	"2002"	4	3273556	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2003"	"2003"	5	3376578	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2004"	"2004"	2	3476654	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2005"	"2005"	4	3578646	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2006"	"2006"	7	3681946	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2007"	"2007"	4	3782296	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2008"	"2008"	3	3874826	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2009"	"2009"	8	3957846	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2010"	"2010"	5	4015770	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2011"	"2011"	5	4069856	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2012"	"2012"	7	4092079	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2013"	"2013"	4	4123983	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2014"	"2014"	2	4215110	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2015"	"2015"	6	4272746	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2016"	"2016"	6	4320902	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2017"	"2017"	5	4431070	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"2018"	"2018"	5	4488709	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"1999"	"1999"	16	2384658	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"2000"	"2000"	14	2476300	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"2001"	"2001"	10	2623197	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"2002"	"2002"	15	2732606	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"2003"	"2003"	11	2845357	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"2004"	"2004"	9	2953817	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"2005"	"2005"	20	3065347	0.7
	"Female"	"F"	"35-44 years"	"35-44"	"2006"	"2006"	15	3185031	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"2007"	"2007"	18	3295387	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"2008"	"2008"	16	3400614	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"2009"	"2009"	11	3492206	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"2010"	"2010"	15	3564335	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"2011"	"2011"	10	3662224	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"2012"	"2012"	22	3729644	0.6
	"Female"	"F"	"35-44 years"	"35-44"	"2013"	"2013"	17	3794385	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"2014"	"2014"	18	3910211	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"2015"	"2015"	26	3996573	0.7
