"Notes"	"Gender"	"Gender Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2000"	"2000"	2	14446309	Unreliable
	"Female"	"F"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2002"	"2002"	1	15057598	Unreliable
	"Female"	"F"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2007"	"2007"	1	15902406	Unreliable
	"Female"	"F"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2011"	"2011"	2	15535056	Unreliable
	"Female"	"F"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2013"	"2013"	1	14843650	Unreliable
	"Female"	"F"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2018"	"2018"	1	13153739	Unreliable
	"Female"	"F"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2000"	"2000"	1	14446309	Unreliable
	"Female"	"F"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2012"	"2012"	1	15207982	Unreliable
	"Female"	"F"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2018"	"2018"	1	13153739	Unreliable
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"1999"	"1999"	9	14112467	Unreliable
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2000"	"2000"	10	14446309	Unreliable
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2001"	"2001"	23	14981593	0.2
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2002"	"2002"	21	15057598	0.1
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2003"	"2003"	21	15250861	0.1
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2004"	"2004"	36	15435849	0.2
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2005"	"2005"	38	15632708	0.2
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2006"	"2006"	41	15803164	0.3
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2007"	"2007"	42	15902406	0.3
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2008"	"2008"	45	15937153	0.3
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	82	15919221	0.5
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	96	15839099	0.6
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	87	15535056	0.6
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	91	15207982	0.6
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	91	14843650	0.6
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	98	14522228	0.7
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	124	14242059	0.9
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2016"	"2016"	94	13942468	0.7
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	98	13577849	0.7
	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2018"	"2018"	88	13153739	0.7
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"1999"	"1999"	3	14112467	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2000"	"2000"	6	14446309	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2001"	"2001"	12	14981593	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2002"	"2002"	6	15057598	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2003"	"2003"	6	15250861	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2004"	"2004"	8	15435849	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2005"	"2005"	6	15632708	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2006"	"2006"	8	15803164	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2007"	"2007"	4	15902406	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2008"	"2008"	7	15937153	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2009"	"2009"	7	15919221	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2010"	"2010"	6	15839099	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2011"	"2011"	7	15535056	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2012"	"2012"	7	15207982	Unreliable
	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2013"	"2013"	6	14843650	Unreliable
