State,State Code,Deaths,Population,Crude Rate
Alabama,1,31178,4615948,675.4
Alaska,2,3513,807246,435.2
Arizona,4,28248,5121352,551.6
Arkansas,5,20405,3008806,678.2
California,6,119027,24790537,480.1
Colorado,8,22516,5458197,412.5
Connecticut,9,16489,4112706,400.9
Delaware,10,4763,856898,555.8
District of Columbia,11,711,243114,292.5
Florida,12,98717,15711210,628.3
Georgia,13,45159,8038249,561.8
Hawaii,15,2761,557113,495.6
Idaho,16,7786,1742356,446.9
Illinois,17,55753,12374039,450.6
Indiana,18,41968,7657819,548
Iowa,19,16929,3869396,437.5
Kansas,20,15564,3196967,486.8
Kentucky,21,36529,5354230,682.2
Louisiana,22,25018,3997445,625.8
Maine,23,9135,1950911,468.2
Maryland,24,23217,5012456,463.2
Massachusetts,25,33351,7743827,430.7
Michigan,26,56875,11655702,488
Minnesota,27,24099,6721988,358.5
Mississippi,28,16958,2436245,696.1
Missouri,29,38770,6907164,561.3
Montana,30,5918,1288865,459.2
Nebraska,31,8913,2140874,416.3
Nevada,32,14964,2298122,651.1
New Hampshire,33,8029,1960541,409.5
New Jersey,34,36511,8337975,437.9
New Mexico,35,6938,1268058,547.1
New York,36,71302,17033859,418.6
North Carolina,37,48107,8975594,536
North Dakota,38,3347,865582,386.7
Ohio,39,74620,13876611,537.7
Oklahoma,40,25651,3765680,681.2
Oregon,41,22265,4474561,497.6
Pennsylvania,42,73851,15208083,485.6
Rhode Island,44,5974,1245452,479.7
South Carolina,45,25791,4168871,618.7
South Dakota,46,3932,984600,399.3
Tennessee,47,46656,6901200,676.1
Texas,48,93334,17258521,540.8
Utah,49,10417,2459926,423.5
Vermont,50,3734,916208,407.5
Virginia,51,35466,7859085,451.3
Washington,53,32809,7560172,434
West Virginia,54,17912,2511955,713.1
Wisconsin,55,29158,7285129,400.2
Wyoming,56,3442,712767,482.9
