State,State Code,Deaths,Population,Crude Rate
Alabama,1,1127,4615948,24.4
Alaska,2,241,807246,29.9
Arizona,4,2492,5121352,48.7
Arkansas,5,698,3008806,23.2
California,6,9935,24790537,40.1
Colorado,8,1613,5458197,29.6
Connecticut,9,1463,4112706,35.6
Delaware,10,374,856898,43.6
District of Columbia,11,55,243114,22.6
Florida,12,7685,15711210,48.9
Georgia,13,2288,8038249,28.5
Hawaii,15,285,557113,51.2
Idaho,16,412,1742356,23.6
Illinois,17,2970,12374039,24
Indiana,18,2184,7657819,28.5
Iowa,19,582,3869396,15
Kansas,20,725,3196967,22.7
Kentucky,21,2539,5354230,47.4
Louisiana,22,1560,3997445,39
Maine,23,531,1950911,27.2
Maryland,24,2088,5012456,41.7
Massachusetts,25,3320,7743827,42.9
Michigan,26,4089,11655702,35.1
Minnesota,27,1132,6721988,16.8
Mississippi,28,714,2436245,29.3
Missouri,29,2052,6907164,29.7
Montana,30,295,1288865,22.9
Nebraska,31,257,2140874,12
Nevada,32,1349,2298122,58.7
New Hampshire,33,613,1960541,31.3
New Jersey,34,2727,8337975,32.7
New Mexico,35,602,1268058,47.5
New York,36,4457,17033859,26.2
North Carolina,37,3031,8975594,33.8
North Dakota,38,52,865582,6
Ohio,39,5535,13876611,39.9
Oklahoma,40,1503,3765680,39.9
Oregon,41,1477,4474561,33
Pennsylvania,42,5725,15208083,37.6
Rhode Island,44,628,1245452,50.4
South Carolina,45,1491,4168871,35.8
South Dakota,46,94,984600,9.5
Tennessee,47,2733,6901200,39.6
Texas,48,4624,17258521,26.8
Utah,49,1104,2459926,44.9
Vermont,50,214,916208,23.4
Virginia,51,1761,7859085,22.4
Washington,53,2754,7560172,36.4
West Virginia,54,1457,2511955,58
Wisconsin,55,1579,7285129,21.7
Wyoming,56,162,712767,22.7
