State,State Code,Deaths,Population,Crude Rate
Alabama,1,921,4615948,20
Alaska,2,295,807246,36.5
Arizona,4,1922,5121352,37.5
Arkansas,5,715,3008806,23.8
California,6,9648,24790537,38.9
Colorado,8,2136,5458197,39.1
Connecticut,9,877,4112706,21.3
Delaware,10,275,856898,32.1
District of Columbia,11,78,243114,32.1
Florida,12,6434,15711210,41
Georgia,13,1935,8038249,24.1
Hawaii,15,172,557113,30.9
Idaho,16,543,1742356,31.2
Illinois,17,2645,12374039,21.4
Indiana,18,1849,7657819,24.1
Iowa,19,946,3869396,24.4
Kansas,20,801,3196967,25.1
Kentucky,21,1463,5354230,27.3
Louisiana,22,793,3997445,19.8
Maine,23,611,1950911,31.3
Maryland,24,964,5012456,19.2
Massachusetts,25,2075,7743827,26.8
Michigan,26,3355,11655702,28.8
Minnesota,27,1632,6721988,24.3
Mississippi,28,568,2436245,23.3
Missouri,29,1643,6907164,23.8
Montana,30,405,1288865,31.4
Nebraska,31,499,2140874,23.3
Nevada,32,1089,2298122,47.4
New Hampshire,33,588,1960541,30
New Jersey,34,1874,8337975,22.5
New Mexico,35,565,1268058,44.6
New York,36,3369,17033859,19.8
North Carolina,37,2550,8975594,28.4
North Dakota,38,236,865582,27.3
Ohio,39,3333,13876611,24
Oklahoma,40,1324,3765680,35.2
Oregon,41,2138,4474561,47.8
Pennsylvania,42,2611,15208083,17.2
Rhode Island,44,399,1245452,32
South Carolina,45,1298,4168871,31.1
South Dakota,46,258,984600,26.2
Tennessee,47,2221,6901200,32.2
Texas,48,4285,17258521,24.8
Utah,49,607,2459926,24.7
Vermont,50,256,916208,27.9
Virginia,51,1695,7859085,21.6
Washington,53,2528,7560172,33.4
West Virginia,54,785,2511955,31.3
Wisconsin,55,1907,7285129,26.2
Wyoming,56,308,712767,43.2
