parm,estimate,stderr,dof,t,p,min95,max95,male,univ,year
"0.male#0.univ#1.year3",.16230128,.00404815,1246,40.092724,1.96e-226,.15435934,.17024322,0,0,1
"0.male#0.univ#2.year3",.16463352,.00426773,1246,38.576333,7.16e-215,.15626078,.17300626,0,0,2
"0.male#0.univ#3.year3",.16491748,.00406238,1246,40.596271,2.92e-230,.15694762,.17288734,0,0,3
"0.male#0.univ#4.year3",.16645498,.00566328,1246,29.391957,1.10e-144,.15534436,.1775656,0,0,4
"0.male#0.univ#5.year3",.17704344,.00485508,1246,36.465642,1.03e-198,.16751842,.18656847,0,0,5
"0.male#0.univ#6.year3",.16255596,.00444123,1246,36.60159,9.35e-200,.15384285,.17126906,0,0,6
"0.male#0.univ#7.year3",.17242694,.00376296,1246,45.822192,1.62e-269,.16504451,.17980937,0,0,7
"0.male#1.univ#1.year3",.19479203,.00280584,1246,69.423745,0,.18928734,.20029673,0,1,1
"0.male#1.univ#2.year3",.20070574,.00293998,1246,68.267623,0,.19493787,.2064736,0,1,2
"0.male#1.univ#3.year3",.2032585,.00311365,1246,65.279723,0,.19714991,.20936708,0,1,3
"0.male#1.univ#4.year3",.19432236,.00395044,1246,49.190083,3.05e-294,.18657212,.2020726,0,1,4
"0.male#1.univ#5.year3",.21511783,.00381508,1246,56.386217,0,.20763315,.22260252,0,1,5
"0.male#1.univ#6.year3",.21155598,.00360796,1246,58.63583,0,.20447762,.21863434,0,1,6
"0.male#1.univ#7.year3",.21844455,.00320803,1246,68.093102,0,.21215082,.22473829,0,1,7
"1.male#0.univ#1.year3",.10769947,.00348735,1246,30.882932,5.54e-156,.10085775,.11454119,1,0,1
"1.male#0.univ#2.year3",.11126342,.00346264,1246,32.132574,1.65e-165,.10447018,.11805666,1,0,2
"1.male#0.univ#3.year3",.1057118,.00368653,1246,28.675145,2.75e-139,.09847931,.11294429,1,0,3
"1.male#0.univ#4.year3",.10800196,.00440969,1246,24.491973,1.84e-108,.09935073,.11665319,1,0,4
"1.male#0.univ#5.year3",.10968248,.00411951,1246,26.625142,5.14e-124,.10160054,.11776442,1,0,5
"1.male#0.univ#6.year3",.11193409,.00360587,1246,31.04221,3.40e-157,.10485985,.11900833,1,0,6
"1.male#0.univ#7.year3",.1256812,.00354782,1246,35.424896,9.88e-191,.11872084,.13264156,1,0,7
"1.male#1.univ#1.year3",.1486549,.00303086,1246,49.047094,3.34e-293,.14270874,.15460105,1,1,1
"1.male#1.univ#2.year3",.15334027,.00317415,1246,48.309124,7.99e-288,.147113,.15956753,1,1,2
"1.male#1.univ#3.year3",.16077718,.00297608,1246,54.023094,0,.1549385,.16661587,1,1,3
"1.male#1.univ#4.year3",.14702754,.00358022,1246,41.066592,7.86e-234,.14000361,.15405147,1,1,4
"1.male#1.univ#5.year3",.17629244,.00354423,1246,49.740736,3.10e-298,.16933913,.18324575,1,1,5
"1.male#1.univ#6.year3",.16432768,.00364947,1246,45.027857,1.30e-263,.1571679,.17148746,1,1,6
"1.male#1.univ#7.year3",.18593075,.00351858,1246,52.842496,1.90e-320,.17902774,.19283375,1,1,7
