"Notes"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"1999"	"1999"	21	103052	20.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2000"	"2000"	26	104682	24.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2001"	"2001"	34	106281	32.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2002"	"2002"	22	110192	20.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2003"	"2003"	34	114490	29.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2004"	"2004"	19	121614	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2005"	"2005"	29	129415	22.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2006"	"2006"	34	133796	25.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2007"	"2007"	28	133647	21.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2008"	"2008"	37	133047	27.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2009"	"2009"	33	133683	24.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2010"	"2010"	36	134614	26.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2011"	"2011"	38	131439	28.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2012"	"2012"	30	137365	21.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2013"	"2013"	30	145380	20.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2014"	"2014"	40	157552	25.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2015"	"2015"	30	164354	18.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2016"	"2016"	33	164521	20.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2017"	"2017"	40	163057	24.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25 years"	"25"	"2018"	"2018"	37	161023	23.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"1999"	"1999"	23	104444	22.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2000"	"2000"	23	105033	21.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2001"	"2001"	43	114168	37.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2002"	"2002"	21	114186	18.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2003"	"2003"	27	117393	23.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2004"	"2004"	34	121228	28.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2005"	"2005"	16	128621	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2006"	"2006"	33	136249	24.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2007"	"2007"	37	139898	26.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2008"	"2008"	39	139241	28.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2009"	"2009"	36	137879	26.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2010"	"2010"	29	138148	21.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2011"	"2011"	25	139888	17.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2012"	"2012"	29	142167	20.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2013"	"2013"	34	145761	23.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2014"	"2014"	35	156534	22.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2015"	"2015"	41	168390	24.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2016"	"2016"	28	170720	16.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2017"	"2017"	36	174399	20.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"26 years"	"26"	"2018"	"2018"	30	170327	17.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"1999"	"1999"	27	111475	24.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2000"	"2000"	24	111843	21.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2001"	"2001"	27	114272	23.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2002"	"2002"	31	121896	25.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2003"	"2003"	27	121517	22.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2004"	"2004"	24	124558	19.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2005"	"2005"	29	128950	22.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2006"	"2006"	34	136517	24.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2007"	"2007"	33	143883	22.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2008"	"2008"	42	147392	28.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"27 years"	"27"	"2009"	"2009"	39	146335	26.7
