"Notes"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	54	1151278	4.7	4.6
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	58	1188767	4.9	4.6
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	60	1197605	5.0	4.9
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	61	1209695	5.0	4.8
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	55	1221366	4.5	4.4
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	95	1233626	7.7	7.4
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	76	1246875	6.1	5.8
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	85	1259856	6.7	6.6
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	80	1272881	6.3	6.3
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	96	1286595	7.5	7.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	109	1299202	8.4	8.1
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	118	1308430	9.0	9.1
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	103	1323181	7.8	7.9
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2012"	"2012"	92	1334724	6.9	6.6
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2013"	"2013"	108	1345729	8.0	7.8
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2014"	"2014"	118	1358332	8.7	8.7
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2015"	"2015"	140	1369293	10.2	10.2
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2016"	"2016"	139	1380765	10.1	10.3
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2017"	"2017"	154	1390265	11.1	11.0
	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2018"	"2018"	147	1399506	10.5	10.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	188	5649503	3.3	3.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	160	5842544	2.7	2.8
