"Notes"	"Gender"	"Gender Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Female"	"F"	"Alabama"	"01"	"1999"	"1999"	96	1840673	5.2	5.2
	"Female"	"F"	"Alabama"	"01"	"2000"	"2000"	108	1846476	5.8	5.9
	"Female"	"F"	"Alabama"	"01"	"2001"	"2001"	96	1856907	5.2	5.2
	"Female"	"F"	"Alabama"	"01"	"2002"	"2002"	97	1863168	5.2	5.3
	"Female"	"F"	"Alabama"	"01"	"2003"	"2003"	96	1873919	5.1	5.1
	"Female"	"F"	"Alabama"	"01"	"2004"	"2004"	97	1887950	5.1	5.2
	"Female"	"F"	"Alabama"	"01"	"2005"	"2005"	96	1907371	5.0	5.2
	"Female"	"F"	"Alabama"	"01"	"2006"	"2006"	96	1934017	5.0	5.0
	"Female"	"F"	"Alabama"	"01"	"2007"	"2007"	122	1953847	6.2	6.4
	"Female"	"F"	"Alabama"	"01"	"2008"	"2008"	120	1974506	6.1	6.0
	"Female"	"F"	"Alabama"	"01"	"2009"	"2009"	130	1991584	6.5	6.6
	"Female"	"F"	"Alabama"	"01"	"2010"	"2010"	138	2002729	6.9	7.0
	"Female"	"F"	"Alabama"	"01"	"2011"	"2011"	122	2017339	6.0	6.2
	"Female"	"F"	"Alabama"	"01"	"2012"	"2012"	136	2026448	6.7	6.9
	"Female"	"F"	"Alabama"	"01"	"2013"	"2013"	151	2037199	7.4	7.5
	"Female"	"F"	"Alabama"	"01"	"2014"	"2014"	141	2050130	6.9	7.0
	"Female"	"F"	"Alabama"	"01"	"2015"	"2015"	159	2059761	7.7	7.8
	"Female"	"F"	"Alabama"	"01"	"2016"	"2016"	162	2065155	7.8	7.8
	"Female"	"F"	"Alabama"	"01"	"2017"	"2017"	145	2071991	7.0	7.2
	"Female"	"F"	"Alabama"	"01"	"2018"	"2018"	178	2081766	8.6	9.1
	"Female"	"F"	"Alaska"	"02"	"1999"	"1999"	22	223853	9.8	10.3
	"Female"	"F"	"Alaska"	"02"	"2000"	"2000"	25	225799	11.1	10.1
	"Female"	"F"	"Alaska"	"02"	"2001"	"2001"	20	229832	8.7	8.2
	"Female"	"F"	"Alaska"	"02"	"2002"	"2002"	34	234160	14.5	13.5
	"Female"	"F"	"Alaska"	"02"	"2003"	"2003"	25	238518	10.5	9.5
	"Female"	"F"	"Alaska"	"02"	"2004"	"2004"	34	243394	14.0	13.3
	"Female"	"F"	"Alaska"	"02"	"2005"	"2005"	27	247580	10.9	10.7
	"Female"	"F"	"Alaska"	"02"	"2006"	"2006"	29	251930	11.5	10.8
	"Female"	"F"	"Alaska"	"02"	"2007"	"2007"	26	254412	10.2	10.1
	"Female"	"F"	"Alaska"	"02"	"2008"	"2008"	32	256634	12.5	11.5
	"Female"	"F"	"Alaska"	"02"	"2009"	"2009"	32	262463	12.2	11.9
	"Female"	"F"	"Alaska"	"02"	"2010"	"2010"	34	264985	12.8	12.1
	"Female"	"F"	"Alaska"	"02"	"2011"	"2011"	29	271130	10.7	10.3
	"Female"	"F"	"Alaska"	"02"	"2012"	"2012"	28	274256	10.2	10.5
	"Female"	"F"	"Alaska"	"02"	"2013"	"2013"	33	273153	12.1	11.7
	"Female"	"F"	"Alaska"	"02"	"2014"	"2014"	29	273778	10.6	10.0
	"Female"	"F"	"Alaska"	"02"	"2015"	"2015"	46	273542	16.8	16.8
	"Female"	"F"	"Alaska"	"02"	"2016"	"2016"	46	277209	16.6	16.2
	"Female"	"F"	"Alaska"	"02"	"2017"	"2017"	40	277176	14.4	13.7
	"Female"	"F"	"Alaska"	"02"	"2018"	"2018"	38	277455	13.7	13.7
	"Female"	"F"	"Arizona"	"04"	"1999"	"1999"	162	1971452	8.2	8.3
	"Female"	"F"	"Arizona"	"04"	"2000"	"2000"	154	2008283	7.7	7.8
	"Female"	"F"	"Arizona"	"04"	"2001"	"2001"	143	2068026	6.9	6.9
	"Female"	"F"	"Arizona"	"04"	"2002"	"2002"	165	2119941	7.8	7.8
	"Female"	"F"	"Arizona"	"04"	"2003"	"2003"	171	2169535	7.9	8.0
	"Female"	"F"	"Arizona"	"04"	"2004"	"2004"	186	2229189	8.3	8.4
	"Female"	"F"	"Arizona"	"04"	"2005"	"2005"	195	2307530	8.5	8.6
	"Female"	"F"	"Arizona"	"04"	"2006"	"2006"	204	2385323	8.6	8.6
	"Female"	"F"	"Arizona"	"04"	"2007"	"2007"	215	2442359	8.8	8.9
	"Female"	"F"	"Arizona"	"04"	"2008"	"2008"	230	2490835	9.2	9.1
	"Female"	"F"	"Arizona"	"04"	"2009"	"2009"	265	2525763	10.5	10.5
	"Female"	"F"	"Arizona"	"04"	"2010"	"2010"	223	2550938	8.7	8.5
	"Female"	"F"	"Arizona"	"04"	"2011"	"2011"	260	2594624	10.0	10.0
	"Female"	"F"	"Arizona"	"04"	"2012"	"2012"	263	2632608	10.0	9.9
	"Female"	"F"	"Arizona"	"04"	"2013"	"2013"	263	2670984	9.8	10.0
	"Female"	"F"	"Arizona"	"04"	"2014"	"2014"	294	2725982	10.8	10.8
	"Female"	"F"	"Arizona"	"04"	"2015"	"2015"	304	2776652	10.9	11.1
	"Female"	"F"	"Arizona"	"04"	"2016"	"2016"	281	2825314	9.9	9.9
	"Female"	"F"	"Arizona"	"04"	"2017"	"2017"	305	2864471	10.6	10.5
	"Female"	"F"	"Arizona"	"04"	"2018"	"2018"	285	2938273	9.7	9.7
	"Female"	"F"	"Arkansas"	"05"	"1999"	"1999"	58	1085406	5.3	5.6
	"Female"	"F"	"Arkansas"	"05"	"2000"	"2000"	67	1094852	6.1	6.2
	"Female"	"F"	"Arkansas"	"05"	"2001"	"2001"	68	1103198	6.2	6.2
	"Female"	"F"	"Arkansas"	"05"	"2002"	"2002"	66	1109414	5.9	6.3
	"Female"	"F"	"Arkansas"	"05"	"2003"	"2003"	70	1116939	6.3	6.4
	"Female"	"F"	"Arkansas"	"05"	"2004"	"2004"	68	1126926	6.0	6.1
	"Female"	"F"	"Arkansas"	"05"	"2005"	"2005"	85	1140088	7.5	7.5
	"Female"	"F"	"Arkansas"	"05"	"2006"	"2006"	60	1157275	5.2	5.2
	"Female"	"F"	"Arkansas"	"05"	"2007"	"2007"	80	1168041	6.8	7.2
	"Female"	"F"	"Arkansas"	"05"	"2008"	"2008"	117	1178477	9.9	10.5
	"Female"	"F"	"Arkansas"	"05"	"2009"	"2009"	83	1187226	7.0	7.1
	"Female"	"F"	"Arkansas"	"05"	"2010"	"2010"	87	1194873	7.3	7.9
	"Female"	"F"	"Arkansas"	"05"	"2011"	"2011"	91	1205102	7.6	7.8
	"Female"	"F"	"Arkansas"	"05"	"2012"	"2012"	96	1210776	7.9	8.2
	"Female"	"F"	"Arkansas"	"05"	"2013"	"2013"	93	1216740	7.6	7.9
	"Female"	"F"	"Arkansas"	"05"	"2014"	"2014"	103	1221588	8.4	8.6
	"Female"	"F"	"Arkansas"	"05"	"2015"	"2015"	127	1229600	10.3	10.6
	"Female"	"F"	"Arkansas"	"05"	"2016"	"2016"	137	1235059	11.1	11.2
	"Female"	"F"	"Arkansas"	"05"	"2017"	"2017"	145	1242603	11.7	12.0
	"Female"	"F"	"Arkansas"	"05"	"2018"	"2018"	116	1248563	9.3	9.9
	"Female"	"F"	"California"	"06"	"1999"	"1999"	641	13014882	4.9	4.9
	"Female"	"F"	"California"	"06"	"2000"	"2000"	609	13199572	4.6	4.7
	"Female"	"F"	"California"	"06"	"2001"	"2001"	498	13474286	3.7	3.7
	"Female"	"F"	"California"	"06"	"2002"	"2002"	702	13672225	5.1	5.2
	"Female"	"F"	"California"	"06"	"2003"	"2003"	727	13877985	5.2	5.3
	"Female"	"F"	"California"	"06"	"2004"	"2004"	810	14049248	5.8	5.7
	"Female"	"F"	"California"	"06"	"2005"	"2005"	728	14206904	5.1	5.1
	"Female"	"F"	"California"	"06"	"2006"	"2006"	749	14343857	5.2	5.2
	"Female"	"F"	"California"	"06"	"2007"	"2007"	821	14489253	5.7	5.6
	"Female"	"F"	"California"	"06"	"2008"	"2008"	868	14670866	5.9	5.9
	"Female"	"F"	"California"	"06"	"2009"	"2009"	903	14860205	6.1	6.0
	"Female"	"F"	"California"	"06"	"2010"	"2010"	869	15007558	5.8	5.7
	"Female"	"F"	"California"	"06"	"2011"	"2011"	942	15213265	6.2	6.1
	"Female"	"F"	"California"	"06"	"2012"	"2012"	836	15393575	5.4	5.4
	"Female"	"F"	"California"	"06"	"2013"	"2013"	926	15553598	6.0	5.8
	"Female"	"F"	"California"	"06"	"2014"	"2014"	970	15815442	6.1	6.0
	"Female"	"F"	"California"	"06"	"2015"	"2015"	982	15995925	6.1	6.0
	"Female"	"F"	"California"	"06"	"2016"	"2016"	981	16062185	6.1	6.0
	"Female"	"F"	"California"	"06"	"2017"	"2017"	940	16206962	5.8	5.7
	"Female"	"F"	"California"	"06"	"2018"	"2018"	989	16238548	6.1	6.1
	"Female"	"F"	"Colorado"	"08"	"1999"	"1999"	119	1661814	7.2	7.2
	"Female"	"F"	"Colorado"	"08"	"2000"	"2000"	118	1688438	7.0	7.0
	"Female"	"F"	"Colorado"	"08"	"2001"	"2001"	148	1738380	8.5	8.4
	"Female"	"F"	"Colorado"	"08"	"2002"	"2002"	141	1767528	8.0	8.0
	"Female"	"F"	"Colorado"	"08"	"2003"	"2003"	155	1789513	8.7	8.6
	"Female"	"F"	"Colorado"	"08"	"2004"	"2004"	182	1809830	10.1	10.0
