"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Large Central Metro"	"1"	"Female"	"F"	"1999"	"1999"	1742	34820733	5.0	5.1
	"Large Central Metro"	"1"	"Female"	"F"	"2000"	"2000"	1652	35117446	4.7	4.7
	"Large Central Metro"	"1"	"Female"	"F"	"2001"	"2001"	1633	35606052	4.6	4.6
	"Large Central Metro"	"1"	"Female"	"F"	"2002"	"2002"	1849	35915098	5.1	5.2
	"Large Central Metro"	"1"	"Female"	"F"	"2003"	"2003"	1793	36212979	5.0	5.0
	"Large Central Metro"	"1"	"Female"	"F"	"2004"	"2004"	1951	36494236	5.3	5.4
	"Large Central Metro"	"1"	"Female"	"F"	"2005"	"2005"	1904	36820168	5.2	5.2
	"Large Central Metro"	"1"	"Female"	"F"	"2006"	"2006"	1921	37104981	5.2	5.2
	"Large Central Metro"	"1"	"Female"	"F"	"2007"	"2007"	1980	37489986	5.3	5.3
	"Large Central Metro"	"1"	"Female"	"F"	"2008"	"2008"	2088	37923886	5.5	5.5
	"Large Central Metro"	"1"	"Female"	"F"	"2009"	"2009"	2140	38405792	5.6	5.6
	"Large Central Metro"	"1"	"Female"	"F"	"2010"	"2010"	2189	38726364	5.7	5.6
	"Large Central Metro"	"1"	"Female"	"F"	"2011"	"2011"	2259	39221257	5.8	5.8
	"Large Central Metro"	"1"	"Female"	"F"	"2012"	"2012"	2380	39723034	6.0	6.0
	"Large Central Metro"	"1"	"Female"	"F"	"2013"	"2013"	2391	40178466	6.0	5.9
	"Large Central Metro"	"1"	"Female"	"F"	"2014"	"2014"	2488	40786394	6.1	6.0
	"Large Central Metro"	"1"	"Female"	"F"	"2015"	"2015"	2606	41297124	6.3	6.3
	"Large Central Metro"	"1"	"Female"	"F"	"2016"	"2016"	2598	41559721	6.3	6.2
	"Large Central Metro"	"1"	"Female"	"F"	"2017"	"2017"	2602	42082026	6.2	6.2
	"Large Central Metro"	"1"	"Female"	"F"	"2018"	"2018"	2652	42235262	6.3	6.3
	"Large Central Metro"	"1"	"Male"	"M"	"1999"	"1999"	6300	32375443	19.5	20.3
	"Large Central Metro"	"1"	"Male"	"M"	"2000"	"2000"	6142	32695478	18.8	19.5
	"Large Central Metro"	"1"	"Male"	"M"	"2001"	"2001"	6373	33201648	19.2	20.0
	"Large Central Metro"	"1"	"Male"	"M"	"2002"	"2002"	6514	33493615	19.4	20.2
	"Large Central Metro"	"1"	"Male"	"M"	"2003"	"2003"	6480	33743309	19.2	19.8
	"Large Central Metro"	"1"	"Male"	"M"	"2004"	"2004"	6491	34026133	19.1	19.7
	"Large Central Metro"	"1"	"Male"	"M"	"2005"	"2005"	6522	34359393	19.0	19.6
	"Large Central Metro"	"1"	"Male"	"M"	"2006"	"2006"	6573	34649799	19.0	19.4
	"Large Central Metro"	"1"	"Male"	"M"	"2007"	"2007"	6892	35029406	19.7	20.1
	"Large Central Metro"	"1"	"Male"	"M"	"2008"	"2008"	7294	35460376	20.6	21.0
	"Large Central Metro"	"1"	"Male"	"M"	"2009"	"2009"	7181	35917786	20.0	20.4
	"Large Central Metro"	"1"	"Male"	"M"	"2010"	"2010"	7388	36230540	20.4	20.7
	"Large Central Metro"	"1"	"Male"	"M"	"2011"	"2011"	7458	36792525	20.3	20.5
	"Large Central Metro"	"1"	"Male"	"M"	"2012"	"2012"	7793	37293133	20.9	21.2
	"Large Central Metro"	"1"	"Male"	"M"	"2013"	"2013"	7766	37761993	20.6	20.8
	"Large Central Metro"	"1"	"Male"	"M"	"2014"	"2014"	7977	38269437	20.8	21.1
	"Large Central Metro"	"1"	"Male"	"M"	"2015"	"2015"	8043	38781665	20.7	21.0
	"Large Central Metro"	"1"	"Male"	"M"	"2016"	"2016"	8217	39064728	21.0	21.1
	"Large Central Metro"	"1"	"Male"	"M"	"2017"	"2017"	8758	39595581	22.1	22.2
	"Large Central Metro"	"1"	"Male"	"M"	"2018"	"2018"	9184	39765729	23.1	23.1
	"Large Fringe Metro"	"2"	"Female"	"F"	"1999"	"1999"	1241	26522322	4.7	4.7
	"Large Fringe Metro"	"2"	"Female"	"F"	"2000"	"2000"	1276	26864930	4.7	4.7
	"Large Fringe Metro"	"2"	"Female"	"F"	"2001"	"2001"	1407	27457523	5.1	5.1
	"Large Fringe Metro"	"2"	"Female"	"F"	"2002"	"2002"	1438	27915596	5.2	5.1
	"Large Fringe Metro"	"2"	"Female"	"F"	"2003"	"2003"	1425	28364540	5.0	4.9
	"Large Fringe Metro"	"2"	"Female"	"F"	"2004"	"2004"	1519	28813327	5.3	5.2
	"Large Fringe Metro"	"2"	"Female"	"F"	"2005"	"2005"	1474	29285668	5.0	4.9
	"Large Fringe Metro"	"2"	"Female"	"F"	"2006"	"2006"	1553	29738011	5.2	5.1
	"Large Fringe Metro"	"2"	"Female"	"F"	"2007"	"2007"	1722	30161214	5.7	5.6
	"Large Fringe Metro"	"2"	"Female"	"F"	"2008"	"2008"	1770	30563477	5.8	5.7
	"Large Fringe Metro"	"2"	"Female"	"F"	"2009"	"2009"	1789	30934171	5.8	5.6
	"Large Fringe Metro"	"2"	"Female"	"F"	"2010"	"2010"	1855	31212328	5.9	5.8
	"Large Fringe Metro"	"2"	"Female"	"F"	"2011"	"2011"	2000	31628254	6.3	6.3
	"Large Fringe Metro"	"2"	"Female"	"F"	"2012"	"2012"	2062	32005710	6.4	6.3
	"Large Fringe Metro"	"2"	"Female"	"F"	"2013"	"2013"	2071	32346006	6.4	6.3
	"Large Fringe Metro"	"2"	"Female"	"F"	"2014"	"2014"	2270	32798137	6.9	6.9
	"Large Fringe Metro"	"2"	"Female"	"F"	"2015"	"2015"	2390	33201681	7.2	7.2
	"Large Fringe Metro"	"2"	"Female"	"F"	"2016"	"2016"	2389	33514238	7.1	7.1
	"Large Fringe Metro"	"2"	"Female"	"F"	"2017"	"2017"	2322	33903236	6.8	6.8
	"Large Fringe Metro"	"2"	"Female"	"F"	"2018"	"2018"	2510	34195043	7.3	7.3
	"Large Fringe Metro"	"2"	"Male"	"M"	"1999"	"1999"	4851	24837773	19.5	20.0
