"Notes"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"1999"	"1999"	21	538451	3.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2000"	"2000"	22	548078	4.0
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2001"	"2001"	25	573042	4.4
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2002"	"2002"	17	589239	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2003"	"2003"	23	604070	3.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2004"	"2004"	26	622785	4.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2005"	"2005"	23	643938	3.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2006"	"2006"	22	669545	3.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2007"	"2007"	27	689659	3.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2008"	"2008"	50	703854	7.1
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2009"	"2009"	26	709678	3.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2010"	"2010"	23	709975	3.2
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2011"	"2011"	38	714287	5.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2012"	"2012"	29	736776	3.9
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2013"	"2013"	26	753483	3.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2014"	"2014"	29	793200	3.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2015"	"2015"	38	832049	4.6
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2016"	"2016"	28	849170	3.3
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2017"	"2017"	41	879740	4.7
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"2018"	"2018"	34	888194	3.8
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"1999"	"1999"	23	513397	4.5
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2000"	"2000"	15	530178	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2001"	"2001"	14	569096	Unreliable
	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"2002"	"2002"	23	605051	3.8
