"Notes"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2010"	"2010"	0	496916	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Salmonella infections (A01-A02)"	"GR113-001"	"2018"	"2018"	0	492900	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2010"	"2010"	0	496916	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2018"	"2018"	0	492900	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	34	496916	6.8
	"Female"	"F"	"< 1 year"	"1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2018"	"2018"	16	492900	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2010"	"2010"	0	496916	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2018"	"2018"	0	492900	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2010"	"2010"	0	496916	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2018"	"2018"	0	492900	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2010"	"2010"	0	496916	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2018"	"2018"	0	492900	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	"2010"	"2010"	6	496916	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	"2018"	"2018"	1	492900	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	"2010"	"2010"	0	496916	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	"2018"	"2018"	0	492900	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	"2010"	"2010"	0	496916	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	"2018"	"2018"	0	492900	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	"2010"	"2010"	20	496916	4.0
	"Female"	"F"	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	"2018"	"2018"	12	492900	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	"2010"	"2010"	0	496916	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	"2018"	"2018"	0	492900	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	"2010"	"2010"	0	496916	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	"2018"	"2018"	0	492900	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	"2010"	"2010"	0	496916	Unreliable
	"Female"	"F"	"< 1 year"	"1"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	"2018"	"2018"	0	492900	Unreliable
