Country Name,Country Code,Series Name,Year,LE,group,country,year0
OECD members,OED,"Life expectancy at birth, total (years)",1970,69.5,0,OED,0
OECD members,OED,"Life expectancy at birth, total (years)",1971,69.8,0,OED,1
OECD members,OED,"Life expectancy at birth, total (years)",1972,70.1,0,OED,2
OECD members,OED,"Life expectancy at birth, total (years)",1973,70.3,0,OED,3
OECD members,OED,"Life expectancy at birth, total (years)",1974,70.7,0,OED,4
OECD members,OED,"Life expectancy at birth, total (years)",1975,71,0,OED,5
OECD members,OED,"Life expectancy at birth, total (years)",1976,71.3,0,OED,6
OECD members,OED,"Life expectancy at birth, total (years)",1977,71.7,0,OED,7
OECD members,OED,"Life expectancy at birth, total (years)",1978,71.9,0,OED,8
OECD members,OED,"Life expectancy at birth, total (years)",1979,72.2,0,OED,9
OECD members,OED,"Life expectancy at birth, total (years)",1980,72.3,0,OED,10
OECD members,OED,"Life expectancy at birth, total (years)",1981,72.6,0,OED,11
OECD members,OED,"Life expectancy at birth, total (years)",1982,73,0,OED,12
OECD members,OED,"Life expectancy at birth, total (years)",1983,73.1,0,OED,13
OECD members,OED,"Life expectancy at birth, total (years)",1984,73.4,0,OED,14
OECD members,OED,"Life expectancy at birth, total (years)",1985,73.5,0,OED,15
OECD members,OED,"Life expectancy at birth, total (years)",1986,73.8,0,OED,16
OECD members,OED,"Life expectancy at birth, total (years)",1987,74.1,0,OED,17
OECD members,OED,"Life expectancy at birth, total (years)",1988,74.2,0,OED,18
OECD members,OED,"Life expectancy at birth, total (years)",1989,74.5,0,OED,19
OECD members,OED,"Life expectancy at birth, total (years)",1990,74.7,0,OED,20
OECD members,OED,"Life expectancy at birth, total (years)",1991,74.9,0,OED,21
OECD members,OED,"Life expectancy at birth, total (years)",1992,75.2,0,OED,22
OECD members,OED,"Life expectancy at birth, total (years)",1993,75.3,0,OED,23
OECD members,OED,"Life expectancy at birth, total (years)",1994,75.6,0,OED,24
OECD members,OED,"Life expectancy at birth, total (years)",1995,75.7,0,OED,25
OECD members,OED,"Life expectancy at birth, total (years)",1996,76,0,OED,26
OECD members,OED,"Life expectancy at birth, total (years)",1997,76.4,0,OED,27
OECD members,OED,"Life expectancy at birth, total (years)",1998,76.6,0,OED,28
OECD members,OED,"Life expectancy at birth, total (years)",1999,76.8,0,OED,29
OECD members,OED,"Life expectancy at birth, total (years)",2000,77.1,0,OED,30
OECD members,OED,"Life expectancy at birth, total (years)",2001,77.4,0,OED,31
OECD members,OED,"Life expectancy at birth, total (years)",2002,77.5,0,OED,32
OECD members,OED,"Life expectancy at birth, total (years)",2003,77.7,0,OED,33
OECD members,OED,"Life expectancy at birth, total (years)",2004,78.1,0,OED,34
OECD members,OED,"Life expectancy at birth, total (years)",2005,78.2,0,OED,35
OECD members,OED,"Life expectancy at birth, total (years)",2006,78.5,0,OED,36
OECD members,OED,"Life expectancy at birth, total (years)",2007,78.7,0,OED,37
OECD members,OED,"Life expectancy at birth, total (years)",2008,78.9,0,OED,38
OECD members,OED,"Life expectancy at birth, total (years)",2009,79.1,0,OED,39
OECD members,OED,"Life expectancy at birth, total (years)",2010,79.3,0,OED,40
OECD members,OED,"Life expectancy at birth, total (years)",2011,79.5,0,OED,41
OECD members,OED,"Life expectancy at birth, total (years)",2012,79.6,0,OED,42
OECD members,OED,"Life expectancy at birth, total (years)",2013,79.8,0,OED,43
OECD members,OED,"Life expectancy at birth, total (years)",2014,80,0,OED,44
OECD members,OED,"Life expectancy at birth, total (years)",2015,79.9,0,OED,45
OECD members,OED,"Life expectancy at birth, total (years)",2016,80.1,0,OED,46
OECD members,OED,"Life expectancy at birth, total (years)",2017,80.1,0,OED,47
United States,USA,"Life expectancy at birth, total (years)",1970,70.8,0,USA,0
United States,USA,"Life expectancy at birth, total (years)",1971,71.1,0,USA,1
United States,USA,"Life expectancy at birth, total (years)",1972,71.2,0,USA,2
United States,USA,"Life expectancy at birth, total (years)",1973,71.4,0,USA,3
United States,USA,"Life expectancy at birth, total (years)",1974,72,0,USA,4
United States,USA,"Life expectancy at birth, total (years)",1975,72.6,0,USA,5
United States,USA,"Life expectancy at birth, total (years)",1976,72.9,0,USA,6
United States,USA,"Life expectancy at birth, total (years)",1977,73.3,0,USA,7
United States,USA,"Life expectancy at birth, total (years)",1978,73.4,0,USA,8
United States,USA,"Life expectancy at birth, total (years)",1979,73.8,0,USA,9
United States,USA,"Life expectancy at birth, total (years)",1980,73.6,0,USA,10
United States,USA,"Life expectancy at birth, total (years)",1981,74,0,USA,11
United States,USA,"Life expectancy at birth, total (years)",1982,74.4,0,USA,12
United States,USA,"Life expectancy at birth, total (years)",1983,74.5,0,USA,13
United States,USA,"Life expectancy at birth, total (years)",1984,74.6,0,USA,14
United States,USA,"Life expectancy at birth, total (years)",1985,74.6,0,USA,15
United States,USA,"Life expectancy at birth, total (years)",1986,74.6,0,USA,16
United States,USA,"Life expectancy at birth, total (years)",1987,74.8,0,USA,17
United States,USA,"Life expectancy at birth, total (years)",1988,74.8,0,USA,18
United States,USA,"Life expectancy at birth, total (years)",1989,75,0,USA,19
United States,USA,"Life expectancy at birth, total (years)",1990,75.2,0,USA,20
United States,USA,"Life expectancy at birth, total (years)",1991,75.4,0,USA,21
United States,USA,"Life expectancy at birth, total (years)",1992,75.6,0,USA,22
United States,USA,"Life expectancy at birth, total (years)",1993,75.4,0,USA,23
United States,USA,"Life expectancy at birth, total (years)",1994,75.6,0,USA,24
United States,USA,"Life expectancy at birth, total (years)",1995,75.6,0,USA,25
United States,USA,"Life expectancy at birth, total (years)",1996,76,0,USA,26
United States,USA,"Life expectancy at birth, total (years)",1997,76.4,0,USA,27
United States,USA,"Life expectancy at birth, total (years)",1998,76.6,0,USA,28
United States,USA,"Life expectancy at birth, total (years)",1999,76.6,0,USA,29
United States,USA,"Life expectancy at birth, total (years)",2000,76.6,0,USA,30
United States,USA,"Life expectancy at birth, total (years)",2001,76.8,0,USA,31
United States,USA,"Life expectancy at birth, total (years)",2002,76.9,0,USA,32
United States,USA,"Life expectancy at birth, total (years)",2003,77,0,USA,33
United States,USA,"Life expectancy at birth, total (years)",2004,77.5,0,USA,34
United States,USA,"Life expectancy at birth, total (years)",2005,77.5,0,USA,35
United States,USA,"Life expectancy at birth, total (years)",2006,77.7,0,USA,36
United States,USA,"Life expectancy at birth, total (years)",2007,78,0,USA,37
United States,USA,"Life expectancy at birth, total (years)",2008,78,0,USA,38
United States,USA,"Life expectancy at birth, total (years)",2009,78.4,0,USA,39
United States,USA,"Life expectancy at birth, total (years)",2010,78.5,0,USA,40
United States,USA,"Life expectancy at birth, total (years)",2011,78.6,0,USA,41
United States,USA,"Life expectancy at birth, total (years)",2012,78.7,0,USA,42
United States,USA,"Life expectancy at birth, total (years)",2013,78.7,0,USA,43
United States,USA,"Life expectancy at birth, total (years)",2014,78.8,0,USA,44
United States,USA,"Life expectancy at birth, total (years)",2015,78.7,0,USA,45
United States,USA,"Life expectancy at birth, total (years)",2016,78.5,0,USA,46
United States,USA,"Life expectancy at birth, total (years)",2017,78.5,0,USA,47
OECD members,OED,"Life expectancy at birth, female (years)",1970,72.8,1,OED,0
OECD members,OED,"Life expectancy at birth, female (years)",1971,73.1,1,OED,1
OECD members,OED,"Life expectancy at birth, female (years)",1972,73.4,1,OED,2
OECD members,OED,"Life expectancy at birth, female (years)",1973,73.6,1,OED,3
OECD members,OED,"Life expectancy at birth, female (years)",1974,74,1,OED,4
OECD members,OED,"Life expectancy at birth, female (years)",1975,74.4,1,OED,5
OECD members,OED,"Life expectancy at birth, female (years)",1976,74.7,1,OED,6
OECD members,OED,"Life expectancy at birth, female (years)",1977,75.1,1,OED,7
OECD members,OED,"Life expectancy at birth, female (years)",1978,75.3,1,OED,8
OECD members,OED,"Life expectancy at birth, female (years)",1979,75.7,1,OED,9
OECD members,OED,"Life expectancy at birth, female (years)",1980,75.8,1,OED,10
