"Country.Code"	"year0"	"LE"	"Model"	"Joinpoints"
0	0	69.20	69.20	2
0	1	69.52	69.50	2
0	2	69.80	69.80	2
0	3	70.10	70.09	2
0	4	70.28	70.39	2
0	5	70.70	70.69	2
0	6	71.05	71.00	2
0	7	71.32	71.30	2
0	8	71.69	71.60	2
0	9	71.87	71.91	2
0	10	72.21	72.22	2
0	11	72.27	72.44	2
0	12	72.64	72.66	2
0	13	72.98	72.88	2
0	14	73.11	73.11	2
0	15	73.40	73.33	2
0	16	73.54	73.56	2
0	17	73.81	73.78	2
0	18	74.09	74.01	2
0	19	74.24	74.24	2
0	20	74.51	74.46	2
0	21	74.69	74.69	2
0	22	74.88	74.92	2
0	23	75.16	75.15	2
0	24	75.27	75.38	2
0	25	75.56	75.61	2
0	26	75.67	75.85	2
0	27	76.04	76.08	2
0	28	76.38	76.31	2
0	29	76.60	76.55	2
0	30	76.77	76.78	2
0	31	77.06	77.02	2
0	32	77.37	77.25	2
0	33	77.53	77.49	2
0	34	77.68	77.73	2
0	35	78.08	77.97	2
0	36	78.20	78.21	2
0	37	78.49	78.45	2
0	38	78.71	78.69	2
0	39	78.86	78.93	2
0	40	79.12	79.17	2
0	41	79.29	79.41	2
0	42	79.52	79.53	2
0	43	79.63	79.64	2
0	44	79.79	79.75	2
0	45	80.04	79.87	2
0	46	79.93	79.98	2
0	47	80.09	80.10	2
0	48	80.14	80.21	2
1	0	70.51	70.57	5
1	1	70.81	70.78	5
1	2	71.11	71.00	5
1	3	71.16	71.21	5
1	4	71.36	71.43	5
1	5	71.96	71.94	5
1	6	72.60	72.46	5
1	7	72.86	72.99	5
1	8	73.26	73.20	5
1	9	73.36	73.41	5
1	10	73.80	73.62	5
1	11	73.61	73.83	5
1	12	74.01	74.04	5
1	13	74.36	74.25	5
1	14	74.46	74.37	5
1	15	74.56	74.48	5
1	16	74.56	74.60	5
1	17	74.61	74.71	5
1	18	74.77	74.83	5
1	19	74.77	74.95	5
1	20	75.02	75.07	5
1	21	75.21	75.18	5
1	22	75.37	75.30	5
1	23	75.62	75.42	5
1	24	75.42	75.54	5
1	25	75.62	75.65	5
1	26	75.62	75.83	5
1	27	76.03	76.00	5
1	28	76.43	76.17	5
1	29	76.58	76.35	5
1	30	76.58	76.52	5
1	31	76.64	76.70	5
1	32	76.84	76.87	5
1	33	76.94	77.05	5
1	34	77.04	77.22	5
1	35	77.49	77.40	5
1	36	77.49	77.57	5
1	37	77.69	77.75	5
1	38	77.99	77.93	5
1	39	78.04	78.11	5
1	40	78.39	78.29	5
1	41	78.54	78.46	5
1	42	78.64	78.64	5
1	43	78.74	78.82	5
1	44	78.74	78.77	5
1	45	78.84	78.71	5
1	46	78.69	78.66	5
1	47	78.54	78.60	5
1	48	78.54	78.55	5
