Country.Name Country.Code Year LE year0
"OECD members" OED 1969 69.2002464 0
"OECD members" OED 1970 69.5163883 1
"OECD members" OED 1971 69.8042034 2
"OECD members" OED 1972 70.0970628 3
"OECD members" OED 1973 70.2828291 4
"OECD members" OED 1974 70.6988517 5
"OECD members" OED 1975 71.0475547 6
"OECD members" OED 1976 71.3243426 7
"OECD members" OED 1977 71.6898975 8
"OECD members" OED 1978 71.8672234 9
"OECD members" OED 1979 72.209424 10
"OECD members" OED 1980 72.2666526 11
"OECD members" OED 1981 72.6351823 12
"OECD members" OED 1982 72.9807503 13
"OECD members" OED 1983 73.1119322 14
"OECD members" OED 1984 73.3990473 15
"OECD members" OED 1985 73.5443465 16
"OECD members" OED 1986 73.8094041 17
"OECD members" OED 1987 74.0931554 18
"OECD members" OED 1988 74.2420851 19
"OECD members" OED 1989 74.5073341 20
"OECD members" OED 1990 74.6899348 21
"OECD members" OED 1991 74.8809813 22
"OECD members" OED 1992 75.162668 23
"OECD members" OED 1993 75.2684831 24
"OECD members" OED 1994 75.5622838 25
"OECD members" OED 1995 75.6683106 26
"OECD members" OED 1996 76.0417766 27
"OECD members" OED 1997 76.3838412 28
"OECD members" OED 1998 76.5957073 29
"OECD members" OED 1999 76.773462 30
"OECD members" OED 2000 77.0618313 31
"OECD members" OED 2001 77.3712698 32
"OECD members" OED 2002 77.5307874 33
"OECD members" OED 2003 77.6802615 34
"OECD members" OED 2004 78.0819742 35
"OECD members" OED 2005 78.1980644 36
"OECD members" OED 2006 78.4869693 37
"OECD members" OED 2007 78.7105503 38
"OECD members" OED 2008 78.8564331 39
"OECD members" OED 2009 79.1153987 40
"OECD members" OED 2010 79.2858812 41
"OECD members" OED 2011 79.5178383 42
"OECD members" OED 2012 79.6312358 43
"OECD members" OED 2013 79.7943915 44
"OECD members" OED 2014 80.0437752 45
"OECD members" OED 2015 79.934026 46
"OECD members" OED 2016 80.0865632 47
"OECD members" OED 2017 80.1384657 48
"United States" USA 1969 70.5073171 0
"United States" USA 1970 70.8073171 1
"United States" USA 1971 71.1073171 2
"United States" USA 1972 71.1560976 3
"United States" USA 1973 71.3560976 4
"United States" USA 1974 71.9560976 5
"United States" USA 1975 72.6048781 6
"United States" USA 1976 72.8560976 7
"United States" USA 1977 73.2560976 8
"United States" USA 1978 73.3560976 9
"United States" USA 1979 73.8048781 10
"United States" USA 1980 73.6097561 11
"United States" USA 1981 74.0097561 12
"United States" USA 1982 74.3609756 13
"United States" USA 1983 74.4634146 14
"United States" USA 1984 74.5634146 15
"United States" USA 1985 74.5634146 16
"United States" USA 1986 74.6146342 17
"United States" USA 1987 74.7658537 18
"United States" USA 1988 74.7658537 19
"United States" USA 1989 75.0170732 20
"United States" USA 1990 75.2146342 21
"United States" USA 1991 75.3658537 22
"United States" USA 1992 75.6170732 23
"United States" USA 1993 75.4195122 24
"United States" USA 1994 75.6195122 25
"United States" USA 1995 75.6219512 26
"United States" USA 1996 76.0268293 27
"United States" USA 1997 76.4292683 28
"United States" USA 1998 76.5804878 29
"United States" USA 1999 76.5829268 30
"United States" USA 2000 76.6365854 31
"United States" USA 2001 76.8365854 32
"United States" USA 2002 76.9365854 33
"United States" USA 2003 77.0365854 34
"United States" USA 2004 77.4878049 35
"United States" USA 2005 77.4878049 36
"United States" USA 2006 77.6878049 37
"United States" USA 2007 77.9878049 38
"United States" USA 2008 78.0390244 39
"United States" USA 2009 78.3902439 40
"United States" USA 2010 78.5414634 41
"United States" USA 2011 78.6414634 42
"United States" USA 2012 78.7414634 43
"United States" USA 2013 78.7414634 44
"United States" USA 2014 78.8414634 45
"United States" USA 2015 78.6902439 46
"United States" USA 2016 78.5390244 47
"United States" USA 2017 78.5390244 48
