"group"	"country"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"
0	0	2	48	6	42	0.000039	0.000001	Uncorrelated	0	NA	NA	NA	4.241200	0.000586	7243.340909	0.000000	0.004275	0.000123	34.760715	0.000000	NA	NA	NA	NA
0	0	2	48	6	42	0.000039	0.000001	Uncorrelated	1	9	6	11	4.252060	0.000522	8143.519655	0.000000	0.003068	0.000020	152.695933	0.000000	-0.001207	0.000125	-9.683306	0.000000
0	0	2	48	6	42	0.000039	0.000001	Uncorrelated	2	40	37	42	4.320892	0.007930	544.904014	0.000000	0.001348	0.000180	7.485131	0.000000	-0.001721	0.000181	-9.499295	0.000000
0	1	5	48	12	36	0.000110	0.000003	Uncorrelated	0	NA	NA	NA	4.260265	0.001588	2682.409094	0.000000	0.002914	0.001230	2.368689	0.024265	NA	NA	NA	NA
0	1	5	48	12	36	0.000110	0.000003	Uncorrelated	1	3	2	10	4.247363	0.011140	381.263529	0.000000	0.007215	0.002460	2.932204	0.006275	0.004301	0.002751	1.563333	0.128126
0	1	5	48	12	36	0.000110	0.000003	Uncorrelated	2	6	5	26	4.273541	0.005012	852.602612	0.000000	0.002852	0.000550	5.182982	0.000013	-0.004363	0.002521	-1.730519	0.093482
0	1	5	48	12	36	0.000110	0.000003	Uncorrelated	3	12	8	35	4.289500	0.003032	1414.906035	0.000000	0.001522	0.000166	9.172945	0.000000	-0.001330	0.000575	-2.314326	0.027444
0	1	5	48	12	36	0.000110	0.000003	Uncorrelated	4	24	14	42	4.271492	0.002874	1486.482782	0.000000	0.002272	0.000086	26.377606	0.000000	0.000750	0.000187	4.014403	0.000351
0	1	5	48	12	36	0.000110	0.000003	Uncorrelated	5	42	38	45	4.397040	0.024770	177.513481	0.000000	-0.000717	0.000550	-1.303663	0.201947	-0.002989	0.000557	-5.367853	0.000007
1	0	2	48	6	42	0.000037	0.000001	Uncorrelated	0	NA	NA	NA	4.287759	0.000510	8412.710040	0.000000	0.004175	0.000078	53.193468	0.000000	NA	NA	NA	NA
1	0	2	48	6	42	0.000037	0.000001	Uncorrelated	1	12	10	13	4.306838	0.000629	6842.301701	0.000000	0.002585	0.000023	111.471056	0.000000	-0.001590	0.000082	-19.427028	0.000000
1	0	2	48	6	42	0.000037	0.000001	Uncorrelated	2	40	37	42	4.366305	0.007813	558.874686	0.000000	0.001098	0.000177	6.192804	0.000000	-0.001487	0.000179	-8.310648	0.000000
1	1	3	48	8	40	0.000150	0.000004	Uncorrelated	0	NA	NA	NA	4.312005	0.001199	3596.835275	0.000000	0.004560	0.000252	18.109342	0.000000	NA	NA	NA	NA
1	1	3	48	8	40	0.000150	0.000004	Uncorrelated	1	9	7	10	4.343373	0.001407	3087.920129	0.000000	0.001075	0.000066	16.396567	0.000000	-0.003485	0.000260	-13.394875	0.000000
1	1	3	48	8	40	0.000150	0.000004	Uncorrelated	2	32	27	37	4.312617	0.009339	461.763295	0.000000	0.002036	0.000252	8.084992	0.000000	0.000961	0.000260	3.693803	0.000710
