"group"	"country"	"year0"	"LE"	"Model"	"Joinpoints"
0	0	0	69.50	69.49	2
0	0	1	69.80	69.79	2
0	0	2	70.10	70.09	2
0	0	3	70.30	70.39	2
0	0	4	70.70	70.69	2
0	0	5	71.00	70.99	2
0	0	6	71.30	71.30	2
0	0	7	71.70	71.60	2
0	0	8	71.90	71.91	2
0	0	9	72.20	72.22	2
0	0	10	72.30	72.44	2
0	0	11	72.60	72.66	2
0	0	12	73.00	72.88	2
0	0	13	73.10	73.11	2
0	0	14	73.40	73.33	2
0	0	15	73.50	73.56	2
0	0	16	73.80	73.78	2
0	0	17	74.10	74.01	2
0	0	18	74.20	74.24	2
0	0	19	74.50	74.47	2
0	0	20	74.70	74.70	2
0	0	21	74.90	74.93	2
0	0	22	75.20	75.16	2
0	0	23	75.30	75.39	2
0	0	24	75.60	75.62	2
0	0	25	75.70	75.85	2
0	0	26	76.00	76.08	2
0	0	27	76.40	76.32	2
0	0	28	76.60	76.55	2
0	0	29	76.80	76.79	2
0	0	30	77.10	77.02	2
0	0	31	77.40	77.26	2
0	0	32	77.50	77.50	2
0	0	33	77.70	77.74	2
0	0	34	78.10	77.97	2
0	0	35	78.20	78.21	2
0	0	36	78.50	78.45	2
0	0	37	78.70	78.70	2
0	0	38	78.90	78.94	2
0	0	39	79.10	79.18	2
0	0	40	79.30	79.42	2
0	0	41	79.50	79.53	2
0	0	42	79.60	79.64	2
0	0	43	79.80	79.75	2
0	0	44	80.00	79.85	2
0	0	45	79.90	79.96	2
0	0	46	80.10	80.07	2
0	0	47	80.10	80.18	2
0	1	0	70.80	70.83	5
0	1	1	71.10	71.04	5
0	1	2	71.20	71.24	5
0	1	3	71.40	71.45	5
0	1	4	72.00	71.97	5
0	1	5	72.60	72.49	5
0	1	6	72.90	73.01	5
0	1	7	73.30	73.22	5
0	1	8	73.40	73.43	5
0	1	9	73.80	73.64	5
0	1	10	73.60	73.85	5
0	1	11	74.00	74.06	5
0	1	12	74.40	74.27	5
0	1	13	74.50	74.39	5
0	1	14	74.60	74.50	5
0	1	15	74.60	74.61	5
0	1	16	74.60	74.73	5
0	1	17	74.80	74.84	5
0	1	18	74.80	74.96	5
0	1	19	75.00	75.07	5
0	1	20	75.20	75.18	5
0	1	21	75.40	75.30	5
0	1	22	75.60	75.41	5
0	1	23	75.40	75.53	5
0	1	24	75.60	75.64	5
0	1	25	75.60	75.81	5
0	1	26	76.00	75.99	5
0	1	27	76.40	76.16	5
0	1	28	76.60	76.33	5
0	1	29	76.60	76.51	5
0	1	30	76.60	76.68	5
0	1	31	76.80	76.86	5
0	1	32	76.90	77.03	5
0	1	33	77.00	77.21	5
0	1	34	77.50	77.38	5
0	1	35	77.50	77.56	5
0	1	36	77.70	77.73	5
0	1	37	78.00	77.91	5
0	1	38	78.00	78.09	5
0	1	39	78.40	78.26	5
0	1	40	78.50	78.44	5
0	1	41	78.60	78.62	5
0	1	42	78.70	78.80	5
0	1	43	78.70	78.74	5
0	1	44	78.80	78.69	5
0	1	45	78.70	78.63	5
0	1	46	78.50	78.57	5
0	1	47	78.50	78.52	5
1	0	0	72.80	72.80	2
1	0	1	73.10	73.11	2
1	0	2	73.40	73.41	2
1	0	3	73.60	73.72	2
1	0	4	74.00	74.03	2
1	0	5	74.40	74.34	2
1	0	6	74.70	74.65	2
1	0	7	75.10	74.96	2
1	0	8	75.30	75.28	2
1	0	9	75.70	75.59	2
1	0	10	75.80	75.91	2
1	0	11	76.20	76.22	2
1	0	12	76.50	76.54	2
1	0	13	76.60	76.74	2
1	0	14	76.90	76.94	2
1	0	15	77.10	77.14	2
1	0	16	77.30	77.34	2
1	0	17	77.60	77.54	2
1	0	18	77.70	77.74	2
1	0	19	78.00	77.94	2
1	0	20	78.20	78.14	2
1	0	21	78.40	78.35	2
1	0	22	78.60	78.55	2
1	0	23	78.70	78.75	2
1	0	24	79.00	78.96	2
1	0	25	79.10	79.16	2
1	0	26	79.40	79.36	2
1	0	27	79.70	79.57	2
1	0	28	79.80	79.78	2
1	0	29	79.90	79.98	2
1	0	30	80.20	80.19	2
1	0	31	80.50	80.40	2
1	0	32	80.60	80.61	2
1	0	33	80.70	80.81	2
1	0	34	81.10	81.02	2
1	0	35	81.20	81.23	2
1	0	36	81.50	81.44	2
1	0	37	81.70	81.65	2
1	0	38	81.80	81.87	2
1	0	39	82.00	82.08	2
1	0	40	82.20	82.29	2
1	0	41	82.40	82.38	2
1	0	42	82.40	82.47	2
1	0	43	82.60	82.56	2
1	0	44	82.80	82.65	2
1	0	45	82.70	82.74	2
1	0	46	82.80	82.83	2
1	0	47	82.90	82.92	2
1	1	0	74.70	74.59	3
1	1	1	75.00	74.93	3
1	1	2	75.10	75.27	3
1	1	3	75.30	75.62	3
1	1	4	75.90	75.96	3
1	1	5	76.60	76.31	3
1	1	6	76.80	76.66	3
1	1	7	77.20	77.01	3
1	1	8	77.30	77.36	3
1	1	9	77.80	77.71	3
1	1	10	77.40	77.80	3
1	1	11	77.80	77.88	3
1	1	12	78.10	77.97	3
1	1	13	78.10	78.05	3
1	1	14	78.20	78.13	3
1	1	15	78.20	78.22	3
1	1	16	78.20	78.30	3
1	1	17	78.30	78.39	3
1	1	18	78.30	78.47	3
1	1	19	78.50	78.55	3
1	1	20	78.80	78.64	3
1	1	21	78.90	78.72	3
1	1	22	79.10	78.81	3
1	1	23	78.80	78.89	3
1	1	24	79.00	78.98	3
1	1	25	78.90	79.06	3
1	1	26	79.10	79.15	3
1	1	27	79.40	79.23	3
1	1	28	79.50	79.32	3
1	1	29	79.40	79.40	3
1	1	30	79.30	79.49	3
1	1	31	79.50	79.57	3
1	1	32	79.60	79.66	3
1	1	33	79.70	79.82	3
1	1	34	80.10	79.98	3
1	1	35	80.10	80.15	3
1	1	36	80.30	80.31	3
1	1	37	80.60	80.47	3
1	1	38	80.60	80.64	3
1	1	39	80.90	80.80	3
1	1	40	81.00	80.97	3
1	1	41	81.10	81.13	3
1	1	42	81.20	81.30	3
1	1	43	81.20	81.26	3
1	1	44	81.30	81.22	3
1	1	45	81.20	81.18	3
1	1	46	81.10	81.14	3
1	1	47	81.10	81.10	3
2	0	0	66.40	66.33	4
2	0	1	66.60	66.62	4
2	0	2	66.90	66.92	4
2	0	3	67.10	67.21	4
2	0	4	67.50	67.50	4
2	0	5	67.90	67.80	4
2	0	6	68.10	68.10	4
2	0	7	68.40	68.40	4
2	0	8	68.60	68.62	4
2	0	9	68.80	68.85	4
2	0	10	68.90	69.07	4
2	0	11	69.30	69.30	4
2	0	12	69.60	69.52	4
2	0	13	69.80	69.75	4
2	0	14	70.00	69.98	4
2	0	15	70.20	70.21	4
2	0	16	70.50	70.44	4
2	0	17	70.80	70.67	4
2	0	18	70.90	70.90	4
2	0	19	71.20	71.13	4
2	0	20	71.40	71.36	4
2	0	21	71.50	71.60	4
2	0	22	71.80	71.83	4
2	0	23	72.00	72.07	4
2	0	24	72.30	72.30	4
2	0	25	72.40	72.54	4
2	0	26	72.90	72.85	4
2	0	27	73.30	73.16	4
2	0	28	73.50	73.47	4
2	0	29	73.70	73.79	4
2	0	30	74.10	74.10	4
2	0	31	74.40	74.42	4
2	0	32	74.60	74.65	4
2	0	33	74.80	74.88	4
2	0	34	75.20	75.11	4
2	0	35	75.30	75.34	4
2	0	36	75.60	75.57	4
2	0	37	75.90	75.81	4
2	0	38	76.10	76.04	4
2	0	39	76.30	76.27	4
2	0	40	76.50	76.51	4
2	0	41	76.80	76.75	4
2	0	42	76.90	76.98	4
2	0	43	77.10	77.22	4
2	0	44	77.40	77.30	4
2	0	45	77.30	77.37	4
2	0	46	77.50	77.45	4
2	0	47	77.50	77.53	4
2	1	0	67.10	67.02	4
2	1	1	67.40	67.33	4
2	1	2	67.40	67.64	4
2	1	3	67.60	67.95	4
2	1	4	68.20	68.27	4
2	1	5	68.80	68.58	4
2	1	6	69.10	68.90	4
2	1	7	69.50	69.21	4
2	1	8	69.60	69.53	4
2	1	9	70.00	69.85	4
2	1	10	70.00	70.17	4
2	1	11	70.40	70.49	4
2	1	12	70.80	70.82	4
