Country.Name,Country.Code,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017
OECD members,OED,69.2002464,69.5163883,69.8042034,70.0970628,70.2828291,70.6988517,71.0475547,71.3243426,71.6898975,71.8672234,72.209424,72.2666526,72.6351823,72.9807503,73.1119322,73.3990473,73.5443465,73.8094041,74.0931554,74.2420851,74.5073341,74.6899348,74.8809813,75.162668,75.2684831,75.5622838,75.6683106,76.0417766,76.3838412,76.5957073,76.773462,77.0618313,77.3712698,77.5307874,77.6802615,78.0819742,78.1980644,78.4869693,78.7105503,78.8564331,79.1153987,79.2858812,79.5178383,79.6312358,79.7943915,80.0437752,79.934026,80.0865632,80.1384657
Austria,AUT,69.8331707,69.9146342,70.1146342,70.4634146,71.0146342,71.0121951,71.1146342,71.5658537,71.9146342,72.0121951,72.3121951,72.4634146,72.8121951,72.9609756,73.0121951,73.6121951,73.8146342,74.3170732,74.7682927,75.2170732,75.2658537,75.5682927,75.6170732,75.8170732,76.0682927,76.4195122,76.6682927,76.8707317,77.3195122,77.6707317,77.8756098,78.1268293,78.5756098,78.6780488,78.6317073,79.1804878,79.3317073,79.8804878,80.1804878,80.4317073,80.3317073,80.5804878,80.9829268,80.9365854,81.1365854,81.4902439,81.1902439,81.6414634,81.6414634
Belgium,BEL,70.7648781,70.9719512,71.0604878,71.405122,71.6353659,71.9858537,71.9712195,72.1197561,72.7739024,72.6980488,73.1936585,73.2070732,73.6217073,73.8880488,73.8690244,74.4048781,74.5202439,74.7317073,75.3658537,75.5658537,75.6326829,76.0519512,76.1921951,76.3512195,76.3453659,76.6917073,76.8407317,77.1873171,77.3707317,77.4731707,77.6195122,77.7219512,77.9731707,78.0756098,78.1292683,78.8780488,78.9804878,79.3804878,79.7829268,79.6804878,80.0341463,80.1829268,80.5853659,80.3853659,80.5878049,81.2878049,80.9926829,81.4390244,81.4390244
Canada,CAN,72.5014634,72.7004878,73.0292683,72.9339024,73.1626829,73.237561,73.5217073,73.8560976,74.2156098,74.5297561,74.8663415,75.0780488,75.4634146,75.7634146,76.0658537,76.2170732,76.3682927,76.5195122,76.7195122,76.9195122,77.1195122,77.4219512,77.6219512,77.7243902,77.8243902,77.8268293,78.0292683,78.1804878,78.4317073,78.6341463,78.8853659,79.1365854,79.3390244,79.4902439,79.7414634,79.8926829,80.1926829,80.3439024,80.5439024,80.695122,80.995122,81.2463415,81.4487805,81.6487805,81.7487805,81.8,81.9,82.1422439,82.2489756
Croatia,HRV,67.8813659,68.2004878,68.5016342,68.7787317,69.0292439,69.2527073,70.0019512,70.4553659,70.7443902,70.5387805,70.4273171,70.1753659,70.3443902,70.4826829,70.2748781,70.2185366,70.8860976,71.4190244,71.4702439,71.4882927,71.8446342,72.1704878,72.1853659,71.2414634,71.522439,71.8034146,72.0843902,72.3653659,72.495122,72.3170732,72.6419512,72.8078049,74.5129268,74.7173171,74.6139024,75.5202439,75.2446342,75.8368293,75.7056098,75.9121951,76.1682927,76.4756098,76.7756098,76.9243902,77.1268293,77.4780488,77.2756098,78.0219512,77.8268293
Czech Republic,CZE,69.3670732,69.4402439,69.6770732,70.1765854,70.0226829,70.0865854,70.4146342,70.5326829,70.5734146,70.6439024,70.7495122,70.2780488,70.7221951,70.8078049,70.5914634,70.837561,71.0463415,70.9973171,71.4456098,71.6414634,71.6756098,71.3839024,71.8982927,72.2717073,72.7678049,72.9726829,73.0748781,73.7146342,73.8248781,74.5146342,74.6682927,74.9682927,75.1731707,75.2219512,75.1707317,75.7219512,75.9243902,76.5243902,76.7243902,76.9756098,77.0780488,77.4243902,77.8731707,78.0756098,78.1756098,78.8243902,78.5780488,79.0268293,79.4756098
Denmark,DNK,73.2209756,73.3434146,73.4146342,73.4390244,73.6821951,73.8082927,74.075122,73.7397561,74.632439,74.3929268,74.2192683,74.1017073,74.2304878,74.5512195,74.4204878,74.5621951,74.427561,74.5797561,74.6912195,74.7717073,74.7997561,74.8053659,75.1578049,75.1941463,75.1168293,75.375122,75.2126829,75.5914634,75.945122,76.1390244,76.3414634,76.5926829,76.7926829,76.895122,77.1439024,77.4926829,77.8439024,78.095122,78.195122,78.4463415,78.597561,79.1,79.8,80.0512195,80.3,80.7,80.702439,80.8536585,81.0048781
Estonia,EST,69.9280976,69.9370976,69.9053415,69.8328293,69.7245854,69.5902195,69.4413171,69.2900244,69.1469512,69.0262683,68.9385854,68.9056342,68.9780488,69.1268293,69.3756098,69.2780488,69.3804878,70.0853659,70.6439024,70.697561,70.0390244,69.4756098,69.3731707,68.8634146,67.9097561,66.5,67.5439024,69.6121951,69.8097561,69.3585366,70.0634146,70.4170732,70.2585366,70.9048781,71.3170732,71.9097561,72.5682927,72.6914634,72.8146342,73.7707317,74.8243902,75.4292683,76.2292683,76.3268293,77.1414634,77.0341463,77.5902439,77.6414634,77.6414634
Finland,FIN,69.5034146,70.1795122,70.017561,70.7073171,71.2236585,71.1348781,71.6736585,71.8129268,72.3502439,72.8970732,73.1553659,73.44,73.7465854,74.2980488,74.2009756,74.5190244,74.2229268,74.56,74.5919512,74.5770732,74.7921951,74.8131707,75.227561,75.4553659,75.705122,76.3956098,76.4095122,76.6934146,76.8785366,77.0907317,77.2912195,77.4658537,77.9658537,78.1195122,78.3682927,78.7146342,78.8170732,79.2146342,79.2634146,79.5682927,79.7195122,79.8707317,80.4707317,80.6268293,80.9756098,81.1804878,81.4804878,81.4292683,81.4292683
France,FRA,71.4585366,71.6585366,71.9073171,72.1073171,72.3560976,72.6048781,72.8536585,73.102439,73.3512195,73.602439,73.8512195,74.0512195,74.3,74.5,74.8,75,75.3,75.6,75.8,76.1,76.3487805,76.6,76.8487805,77.1,77.3,77.6487805,77.7512195,77.9536585,78.3048781,78.6048781,78.7560976,79.0560976,79.1585366,79.2609756,79.1146342,80.1634146,80.1634146,80.8121951,81.1121951,81.2146342,81.4146342,81.6634146,82.1146342,81.9682927,82.2195122,82.6707317,82.3219512,82.5243902,82.5243902
